,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Shrimp,1,4,4,4,4,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,4
"Zooplankton 
Daphnia",3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Leeches,1,4,4,4,4,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Water Boatman 
Backswimmer",2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3
Chironomids,1,4,4,4,4,5,5,5,5,5,5,5,5,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mayflys,1,1,1,1,1,4,4,4,4,5,5,5,5,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Damselflies,1,1,1,1,1,3,3,3,3,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3
Dragon Flies,1,1,1,1,1,1,1,1,1,3,3,3,3,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Caddisflies,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
