Site Names,,,,
Codes,English Names,Province Codes,Latitude,Longitude
s0000106,100 Mile House,BC,51.65N,121.28W
s0000758,Abbotsford,BC,49.06N,122.25W
s0000399,Agassiz,BC,49.23N,121.77W
s0000768,Airdrie,AB,51.29N,114.01W
s0000570,Aklavik,NT,68.22N,135.01W
s0000578,Akulivik,QC,60.80N,78.20W
s0000821,Alert,NU,82.50N,62.37W
s0000070,Alexandria,ON,45.31N,74.63W
s0000073,Algonquin Park (Brent),ON,46.03N,78.48W
s0000074,Algonquin Park (Lake of Two Rivers),ON,45.58N,78.48W
s0000489,Alliston,ON,44.15N,79.86W
s0000197,Alma,QC,48.55N,71.65W
s0000171,Altona,MB,49.10N,97.56W
s0000450,Amherst,NS,45.83N,64.21W
s0000718,Amos,QC,48.57N,78.12W
s0000406,Amqui,QC,48.47N,67.43W
s0000802,Annapolis Royal,NS,44.74N,65.52W
s0000462,Antigonish,NS,45.62N,61.99W
s0000304,Apsley,ON,44.76N,78.09W
s0000412,Arctic Bay,NU,73.03N,85.17W
s0000520,Armstrong,ON,50.30N,89.04W
s0000533,Arnes,MB,50.80N,96.99W
s0000511,Arviat,NU,61.11N,94.06W
s0000682,Val-des-Sources,QC,45.77N,71.93W
s0000209,Assiniboia,SK,49.63N,105.99W
s0000001,Athabasca,AB,54.72N,113.28W
s0000103,Atikokan,ON,48.76N,91.61W
s0000409,Atlin,BC,59.57N,133.70W
s0000024,Attawapiskat,ON,52.92N,82.43W
s0000586,Aupaluk,QC,59.30N,69.60W
s0000110,Baccaro Point,NS,43.45N,65.47W
s0000091,Bachelors Island,MB,51.75N,99.90W
s0000265,Baddeck,NS,46.10N,60.75W
s0000116,Badger,NL,48.98N,56.04W
s0000486,Bagotville,QC,48.35N,70.88W
s0000483,Baie-Comeau,QC,49.22N,68.15W
s0000580,Baie-James,QC,52.00N,76.00W
s0000342,Baie-Saint-Paul,QC,47.45N,70.50W
s0000487,Baker Lake,NU,64.32N,96.02W
s0000301,Bancroft,ON,45.06N,77.76W
s0000404,Banff,AB,51.18N,115.57W
s0000413,Barrhead,AB,54.12N,114.40W
s0000415,Barrie,ON,44.37N,79.68W
s0000302,'Barry''s Bay',ON,45.49N,77.68W
