Waterbody ID,Waterbody Name,District,Zone Regulations,Latitude,Longitude,Surface Area (ha),URL
6900,Acadia Valley Reservoir,Oyen,PP2,51.099316,-110.25524,13.2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6900
3899,Alford Lake,Rocky Mountain House,ES2,52.063523,-115.092202,4.9,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=3899
6902,Allison Lake (Chinook Lake),Blairmore,ES1,49.672284,-114.604063,2.7,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6902
3909,Allstones Lake,Nordegg,ES2,52.303119,-116.418572,3.5,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=3909
17894,Anderson Dam,Drumheller,PP2,51.419906,-112.838356,2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=17894
21353,Ardmore Community Pond,Cold Lake,NB1,54.339952,-110.479159,4,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=21353
6903,Ashland Reservoir,Wetaskiwin,PP2,53.147371,-114.409999,11.2,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6903
3948,Aster Lake,Canmore,ES1,50.577603,-115.210545,1.8,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=3948
6904,Atlantic Richfield Reservoir,High Prairie,NB2,54.832388,-115.326749,5.3,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6904
6905,Bashaw Pond,Ponoka,PP2,52.581079,-112.966507,12,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6905
6892,Bathing Lake,Pincher Creek,ES1,49.278825,-114.024744,5.6,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=6892
4005,Bear Pond,Canmore,ES1,50.218457,-114.430019,3.3,https://mywildalberta.ca/fishing/fish-stocking/stocking-maps.aspx?id=4005
