Lake_Name,Common_Name,ATS_Location,Species_Code,Strain,Genotype,Avg_Length,Quantity_Stocked,Stocking_Date
Beauvais Lake,,ATS_EXTRACTION_ERROR,WSCT,Allison Creek,2N,,16000,
Beauvais Lake,,ATS_EXTRACTION_ERROR,WSCT,Allison Creek,2N,,2000,
Beaver Mines Lake,,ATS_EXTRACTION_ERROR,WSCT,Allison Creek,2N,,16000,
Beaver Mines Lake,,ATS_EXTRACTION_ERROR,WSCT,Allison Creek,2N,,2000,
Blood Indian Creek,,ATS_EXTRACTION_ERROR,BNTR,Bow River,3N,,7500,
Blood Indian Creek,,ATS_EXTRACTION_ERROR,TGTR,Beitty/Bow River,3N,,6000,
Blood Indian Creek,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,7000,
Blood Indian Creek,,ATS_EXTRACTION_ERROR,RNTR,Campbell Lake,2N,,10000,
Butcher's Lake,,ATS_EXTRACTION_ERROR,BKTR,Beitty Resort,3N,,3000,
Captain Eyre Lake,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF2N,,5000,
Captain Eyre Lake,,ATS_EXTRACTION_ERROR,TGTR,Beitty/Bow River,3N,,2000,
Chain Lakes Reservoir,,ATS_EXTRACTION_ERROR,WSCT,Allison Creek,2N,,20000,
Chain Lakes Reservoir,,ATS_EXTRACTION_ERROR,RNTR,Trout Lodge/Kamloops,AF3N,,10000,
Chain Lakes Reservoir,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,6000,
Chain Lakes Reservoir,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,2420,
Chain Lakes Reservoir,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,11580,
Crowsnest Lake,,ATS_EXTRACTION_ERROR,WSCT,Allison Creek,2N,,3000,
Crowsnest Lake,,ATS_EXTRACTION_ERROR,WSCT,Allison Creek,2N,,7000,
Emerson Lake,,ATS_EXTRACTION_ERROR,BNTR,Bow River,3N,,200,
Emerson Lake,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,1400,
Island Lake,,ATS_EXTRACTION_ERROR,WSCT,Allison Creek,2N,,3500,
Lees Lake,,ATS_EXTRACTION_ERROR,RNTR,Trout Lodge/Jumpers,AF3N,,20000,
Lees Lake,,ATS_EXTRACTION_ERROR,BNTR,Bow River,3N,,1895,
Michel Reservoir,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF2N,,7500,
Michel Reservoir,,ATS_EXTRACTION_ERROR,BNTR,Bow River,3N,,1500,
Michichi Reservoir,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,4200,
Michichi Reservoir,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,1400,
Outpost Lake,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,2500,
Outpost Lake,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,2500,
Outpost Lake,,ATS_EXTRACTION_ERROR,RNTR,Trout Lodge/Jumpers,AF3N,,2500,
Payne Lake,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,77502,
Payne Lake,,ATS_EXTRACTION_ERROR,RNTR,Trout Lodge/Jumpers,AF3N,,13400,
Payne Lake,,ATS_EXTRACTION_ERROR,RNTR,Trout Lodge/Kamloops,AF3N,,20000,
Spruce Coulee,,ATS_EXTRACTION_ERROR,BKTR,Beitty Resort,3N,,7000,
Acadia Valley,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF2N,,5000,
Acadia Valley,,ATS_EXTRACTION_ERROR,BKTR,Beitty Resort,3N,,2000,
Bathing Lake,,ATS_EXTRACTION_ERROR,WSCT,Allison Creek,2N,,500,
Bathing Lake,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,500,
Boulder Lake,,ATS_EXTRACTION_ERROR,RNTR,Trout Lodge/Kamloops,AF3N,,1200,
Brooks Aquaduct,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF2N,,10000,
Burmis Lake,,ATS_EXTRACTION_ERROR,WSCT,Allison Creek,2N,,1000,
Burn's Reservoir,,ATS_EXTRACTION_ERROR,WSCT,Allison Creek,2N,,1000,
Corner Lake,,ATS_EXTRACTION_ERROR,RNTR,Trout Lodge/Jumpers,AF3N,,5000,
Corner Lake,,ATS_EXTRACTION_ERROR,BNTR,Bow River,2N,,50,
Coronation,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,5300,
Coronation,,ATS_EXTRACTION_ERROR,TGTR,Beitty/Bow River,3N,,1000,
Coronation,,ATS_EXTRACTION_ERROR,BNTR,Bow River,3N,,1000,
Crossfield Trout,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,1400,
Dewitt's Pond,,ATS_EXTRACTION_ERROR,RNTR,Trout Lodge/Kamloops,AF3N,,1000,
Dewitt's Pond,,ATS_EXTRACTION_ERROR,BNTR,Bow River,3N,,1345,
Dewitt's Pond,,ATS_EXTRACTION_ERROR,BNTR,Bow River,3N,,1250,
Diplomat Mine,,ATS_EXTRACTION_ERROR,TGTR,Beitty/Bow River,3N,,1500,
Diplomat Mine,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF2N,,5000,
Enchant Pond,,ATS_EXTRACTION_ERROR,TGTR,Beitty/Bow River,3N,,200,
Foremost,,ATS_EXTRACTION_ERROR,RNTR,Trout Lodge/Kamloops,AF3N,,1500,
Goldspring Park,,ATS_EXTRACTION_ERROR,RNTR,Trout Lodge/Kamloops,AF3N,,2363,
Granum Pond,,ATS_EXTRACTION_ERROR,RNTR,Trout Lodge/Kamloops,AF3N,,600,
Helmer Reservoir,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF2N,,5000,
Hiller's Reservoir,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF2N,,7500,
Huber Reservoir,,ATS_EXTRACTION_ERROR,RNTR,Riverence,AF3N,,6000,
Huber Reservoir,,ATS_EXTRACTION_ERROR,TGTR,Beitty/Bow River,3N,,1250,
Irma Fish and,,ATS_EXTRACTION_ERROR,BKTR,Beitty Resort,3N,,300,
