,,,,
Allison Lake (SW 27-8-5-W5),ES1,14,27,SW 27-8-5-W5
Bathing Lake (SE 11-4-1-W5),ES1,14,27,SE 11-4-1-W5
Beauvais Lake (SW 29-5-1-W5),ES1,15,28,SW 29-5-1-W5
Beaver Mines Lake (NE 11-5-3-W5),ES1,19,32,NE 11-5-3-W5
Burmis Lake (SE 14-7-3-W5),ES1,13,26,SE 14-7-3-W5
Burn’s Reservoir (NE 23-6-30-W4),ES1,18,32,NE 23-6-30-W4
Butcher’s Lake (NW 15-4-1-W5),ES1,16,29,NW 15-4-1-W5
Chain Lakes Reservoir (NE 4-15-2-W5),ES1,23,36,NE 4-15-2-W5
Coleman Fish And Game Pond (SW 24-8-5-W5),ES1,28,41,SW 24-8-5-W5
Cottonwood Lake (SE 16-7-29-W4),ES1,17,31,SE 16-7-29-W4
Crossfield Trout Pond (SE 27-28-1-W5),ES1,23,37,SE 27-28-1-W5
Dewitt’s Pond (SE 31-26-1-W5),ES1,15,29,SE 31-26-1-W5
Granum Pond (NW 31-10-26-W4)  ,ES1,13,28,NW 31-10-26-W4
Grotto Mountain Pond (NW 21-24-9-W5),ES1,22,36,NW 21-24-9-W5
Island Lake (NW12-8-6-W5),ES1,13,26,NW12-8-6-W5
Lees Lake (SW 8-7-2-W5),ES1,11,23,SW 8-7-2-W5
Margaret Lake (NW 15-28-9-W5),ES1,15,29,NW 15-28-9-W5
Mclean Pond (NW 20-22-5-W5),ES1,13,27,NW 20-22-5-W5
Mitford Ponds (SE 4-26-4-W5),ES1,15,28,SE 4-26-4-W5
Nose Creek Pond (NE 1-27-1-W5),ES1,17,30,NE 1-27-1-W5
Payne Lake (NE 10-2-28-W4),ES1,12,26,NE 10-2-28-W4
Sibbald Lake (NE 14-24-7-W5),ES1,14,28,NE 14-24-7-W5
Sibbald Meadows Pond (SW 20-24-7-W5),ES1,22,36,SW 20-24-7-W5
Tim Horton Children’s Pond (NW14-24-8-W5) ,ES1,28,41,NW14-24-8-W5
Alford Lake (SW 4-36-8-W5),ES2,13,26,SW 4-36-8-W5
Brazeau Borrow Pit #1 (SE 32-45-10-W5),ES2,23,38,SE 32-45-10-W5
Brazeau Borrow Pit #2 (SW 2-46-11-W5),ES2,23,37,SW 2-46-11-W5
Camp 9 Trout Pond (NE 32-44-8-W5),ES2,19,33,NE 32-44-8-W5
Dickson Trout Pond (NW 13-35-3-W5),ES2,20,34,NW 13-35-3-W5
Elk Creek Pond (NW 33-35-12-W5),ES2,16,31,NW 33-35-12-W5
Goldeye Lake (NE 14-40-16-W5),ES2,14,29,NE 14-40-16-W5
