Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,Genotype**,"Average
Length (cm)",Number Stocked,Stocking Date
Alford Lake,,SW4-36-8-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.2,2000,06-05-2024
Alford Lake,,SW4-36-8-W5,RNTR,Campbell Lake,2N,65,30,05-10-2024
Alford Lake,,SW4-36-8-W5,RNTR,Campbell Lake,2N,55,20,05-10-2024
Bear Pond,,NW36-14-4-W5,TGTR,Beitty/Bow River,3N,20,750,04-06-2024
Beauvais Lake,,SW29-5-1-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,20.5,8000,25-05-2024
Beauvais Lake,,SW29-5-1-W5,RNTR,Trout Lodge/Silver's,AF3N,22.5,15000,17-09-2024
Beauvais Lake,,SW29-5-1-W5,RNTR,"Trout
Lodge/Jumpers",AF3N,5.5,20000,21-09-2024
Beaver Lake,,NE16-35-6-W5,RNTR,Campbell Lake,3N,20,1250,08-05-2024
Beaver Lake,,NE16-35-6-W5,TGTR,Beitty/Bow River,3N,23,1000,16-09-2024
Beaver Lake,,NE16-35-6-W5,RNTR,Campbell Lake,3N,20.1,1500,24-09-2024
Beaver Mines Lake,,NE11-5-3-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.6,11500,26-04-2024
Beaver Mines Lake,,NE11-5-3-W5,RNTR,Trout Lodge/Silver's,AF3N,14.2,15000,21-05-2024
Beaver Mines Lake,,NE11-5-3-W5,RNTR,Riverence,AF3N,8.4,15000,21-09-2024
Beaver Mines Lake,,NE11-5-3-W5,RNTR,Riverence,3N,12.5,7500,30-09-2024
Birch Lake,,SE18-35-6-W5,BKTR,Beitty Resort,3N,21,4000,06-06-2024
Birch Lake,,SE18-35-6-W5,RNTR,Campbell Lake,3N,20.8,1750,06-06-2024
Birch Lake,,SE18-35-6-W5,BNTR,Bow River,3N,20,500,06-06-2024
"Blood Indian Creek
Reservoir",,SW28-26-9-W4,RNTR,Campbell Lake,2N,20.1,10400,22-04-2024
"Blood Indian Creek
Reservoir",,SW28-26-9-W4,RNTR,Pit Lakes,2N,17.6,2000,23-04-2024
"Blood Indian Creek
Reservoir",,SW28-26-9-W4,BNTR,Bow River,3N,20.4,2500,23-04-2024
"Blood Indian Creek
Reservoir",,SW28-26-9-W4,TGTR,Beitty/Bow River,3N,19.4,4000,23-04-2024
"Blood Indian Creek
Reservoir",,SW28-26-9-W4,BNTR,Bow River,2N,55.2,109,23-04-2024
Blood Indian Creek Reservoir,,SW28-26-9-W4,BNTR,Bow River,2N,41.5,72,23-04-2024
"Blood Indian Creek
Reservoir",,SW28-26-9-W4,RNTR,Campbell Lake,2N,20.1,7326,16-05-2024
"Blood Indian Creek
Reservoir",,SW28-26-9-W4,RNTR,Campbell Lake,2N,20.1,15000,27-09-2024
"Blood Indian Creek
Reservoir",,SW28-26-9-W4,RNTR,Riverence,AF2N,18.4,28980,30-09-2024
Blood Indian Creek Reservoir,,SW28-26-9-W4,RNTR,Riverence,AF2N,18.4,8381,01-10-2024
"Blood Indian Creek
Reservoir",,SW28-26-9-W4,BNTR,Bow River,3N,9.8,3500,09-10-2024
"Blood Indian Creek
Reservoir",,SW28-26-9-W4,RNTR,Campbell Lake,2N,65,23,10-10-2024
"Blood Indian Creek
Reservoir",,SW28-26-9-W4,RNTR,Campbell Lake,2N,55,147,10-10-2024
Blood Indian Creek Reservoir,,SW28-26-9-W4,RNTR,Campbell Lake,3N,16.1,9480,11-10-2024
Bonnyville Town Pond,Slawuta Lake,NW7-61-5-W4,RNTR,"Trout
Lodge/Jumpers",AF3N,20.3,500,03-05-2024
Butcher's Lake,,NW15-4-1-W5,BKTR,Beitty Resort,3N,18.5,2000,23-04-2024
Captain Eyre Lake,Capt Ayre,NW30-38-5-W4,RNTR,Campbell Lake,2N,20,2000,17-04-2024
Captain Eyre Lake,Capt Ayre,NW30-38-5-W4,TGTR,Beitty/Bow River,3N,19.1,2000,17-04-2024
