Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,Genotype**,Average Length (cm),Number Stocked,Stocking Date
Birch Lake,,SE18-35-6-W5,BKTR,Beitty Resort,3N,21,4000,6-Jun-24
Butcher's Lake,,NW15-4-1-W5,BKTR,Beitty Resort,3N,18.5,2000,23-Apr-24
Chrystina Lake,,NW8-67-8-W5,BKTR,Beitty Resort,3N,21.7,1550,14-May-24
Dunn Lake,,NW7-54-25-W5,BKTR,Beitty Resort,3N,19.2,1500,27-May-24
Emerald Lake,,SW5-62-11-W5,BKTR,Beitty Resort,3N,21.7,1800,3-Jun-24
Horseshoe Lake,,SW31-63-25-W4,BKTR,Beitty Resort,3N,7.6,12500,5-Jun-24
Kinky Lake,,SE6-50-26-W5,BKTR,Beitty Resort,3N,19.3,3300,30-May-24
Montaganeusse Lake,Stoney Lake,NE31-86-3-W6,BKTR,Beitty Resort,3N,20.8,4580,14-May-24
Peanut Lake,,NE15-58-3-W5,BKTR,Beitty Resort,3N,19.6,2500,30-Apr-24
Peppers Lake,,NW30-35-12-W5,BKTR,Beitty Resort,3N,19.2,3500,29-May-24
Pierre Greys Lakes,Upper Pierre Greys Lake,SW7-57-4-W6,BKTR,Beitty Resort,3N,19.2,3500,9-May-24
Pierre Greys Lakes,Upper Pierre Greys Lake,SW7-57-4-W6,BKTR,Beitty Resort,3N,21.1,2162,10-Jun-24
Rat Lake,,SW11-38-9-W5,BKTR,Beitty Resort,3N,7.4,2500,31-May-24
"Spruce Coulee
Reservoir",,SW26-8-2-W4,BKTR,Beitty Resort,3N,18.8,5000,25-Apr-24
Unnamed,"Acadia Valley
Reservoir",SW5-25-2-W4,BKTR,Beitty Resort,3N,18.5,2000,23-Apr-24
Unnamed,Avalanche Lake,NE29-28-10-W5,BKTR,Beitty Resort,3N,21.7,450,15-May-24
Unnamed,Bashaw Pond,SE4-42-21-W4,BKTR,Beitty Resort,3N,19.1,200,18-Apr-24
Unnamed,Elk Point Pond,NW36-56-7-W4,BKTR,Beitty Resort,3N,19.5,500,3-May-24
Unnamed,Heritage Lake,NW33-55-25-W4,BKTR,Beitty Resort,3N,19,1600,29-Apr-24
