,,,,,,,,
Alford Lake,,SW4-36-8-W5,RNTR,Riverence,AF3N,20,3000,02-05-2025
Allstones Lake,,NW30-38-17-W5,BKTR,Beitty Resort,3N,12.1,650,25-09-2025
Aster Lake,,SE5-19-9-W5,CTTR,Allison Creek,2N,4.2,1300,09-09-2025
Bear Pond,,NW36-14-4-W5,TGTR,Beitty/Bow River,3N,21.2,750,03-06-2025
Beauvais Lake,,SW29-5-1-W5,CTTR,Allison Creek,2N,12.3,16000,25-04-2025
Beaver Lake,,NE16-35-6-W5,RNTR,Riverence,AF3N,20.5,2500,07-05-2025
Beaver Lake,,NE16-35-6-W5,TGTR,Beitty/Bow River,3N,30.6,1000,01-10-2025
Beaver Lake,,NE16-35-6-W5,TGTR,Beitty/Bow River,3N,10.6,800,01-10-2025
Beaver Mines Lake,,NE11-5-3-W5,CTTR,Allison Creek,2N,12.3,16000,25-04-2025
Beaver Mines Lake,,NE11-5-3-W5,CTTR,Allison Creek,2N,37.8,200,26-06-2025
Birch Lake,,SE18-35-6-W5,BNTR,Bow River,3N,19.4,500,07-05-2025
Birch Lake,,SE18-35-6-W5,RNTR,Riverence,AF3N,20,3500,07-05-2025
Birch Lake,,SE18-35-6-W5,BKTR,Beitty Resort,3N,19.3,5000,07-05-2025
Blood Indian Creek Reservoir,,SW28-26-9-W4,BNTR,Bow River,3N,17.9,7500,24-04-2025
Blood Indian Creek Reservoir,,SW28-26-9-W4,TGTR,Beitty/Bow River,3N,22.2,7500,29-04-2025
Blood Indian Creek Reservoir,,SW28-26-9-W4,RNTR,Riverence,AF2N,22.3,7000,29-04-2025
"Blood Indian Creek
Reservoir",,SW28-26-9-W4,RNTR,Campbell Lake,2N,20,10000,09-05-2025
Blood Indian Creek Reservoir,,SW28-26-9-W4,WALL,Lac Ste. Anne,2N,11.9,183,18-09-2025
Blood Indian Creek Reservoir,,SW28-26-9-W4,WALL,Lac Ste. Anne,2N,12.1,96,19-09-2025
Blood Indian Creek Reservoir,,SW28-26-9-W4,WALL,Lac Ste. Anne,2N,11.7,1000,25-09-2025
"Blood Indian Creek
Reservoir",,SW28-26-9-W4,RNTR,Campbell Lake,2N,19.8,9590,02-10-2025
Blood Indian Creek Reservoir,,SW28-26-9-W4,RNTR,Campbell Lake,2N,21.4,5910,02-10-2025
