"Waterbody Official Name","Waterbody Common Name",ATS,Species,Strain*,Genotype**,"Average Length (cm)","Number Stocked",Stocking Date
Beaver Mines Lake,,NE11-5-3-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.6,11500,2024-04-26
Blood Indian Creek Reservoir,,SW28-26-9-W4,RNTR,Campbell Lake,2N,20.1,10400,2024-04-22
Blood Indian Creek Reservoir,,SW28-26-9-W4,RNTR,Pit Lakes,2N,17.6,2000,2024-04-23
Blood Indian Creek Reservoir,,SW28-26-9-W4,BNTR,Bow River,3N,20.4,2500,2024-04-23
Blood Indian Creek Reservoir,,SW28-26-9-W4,TGTR,Beitty/Bow River,3N,19.4,4000,2024-04-23
Blood Indian Creek Reservoir,,SW28-26-9-W4,BNTR,Bow River,2N,55.2,109,2024-04-23
Blood Indian Creek Reservoir,,SW28-26-9-W4,BNTR,Bow River,2N,41.5,72,2024-04-23
Butcher's Lake,,NW15-4-1-W5,BKTR,Beitty Resort,3N,18.5,2000,2024-04-23
Captain Eyre Lake,Capt Ayre,NW30-38-5-W4,RNTR,Campbell Lake,2N,20,2000,2024-04-17
Captain Eyre Lake,Capt Ayre,NW30-38-5-W4,TGTR,Beitty/Bow River,3N,19.1,2000,2024-04-17
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,20.6,990,2024-04-22
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.7,3304,2024-04-26
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.1,6768,2024-04-26
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.1,4428,2024-04-26
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,21,4510,2024-04-26
Dillberry Lake,,NE36-41-1-W4,RNTR,Campbell Lake,2N,20,4000,2024-04-24
Dillberry Lake,,NE36-41-1-W4,RNTR,Pit Lakes,2N,17.8,7000,2024-04-24
Dillberry Lake,,NE36-41-1-W4,TGTR,Beitty/Bow River,3N,19.9,2000,2024-04-24
Lees Lake,,SW8-7-2-W5,RNTR,Trout Lodge/Jumpers,AF3N,20,10000,2024-04-11
Lees Lake,,SW8-7-2-W5,BNTR,Bow River,3N,19.5,1000,2024-04-11
Michel Reservoir,Michel Creek Reservoir,NE5-7-3-W4,RNTR,Campbell Lake,2N,20.2,3000,2024-04-25
Michel Reservoir,Michel Creek Reservoir,NE5-7-3-W4,BNTR,Bow River,3N,19.5,1500,2024-04-25
Michichi Reservoir,,SW19-30-18-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.7,3360,2024-04-25
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Riverence,AF3N,22.9,3500,2024-04-22
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Campbell Lake,3N,20.6,1500,2024-04-22
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Trout Lodge/Jumpers,AF3N,19.8,15000,2024-04-11
Reesor Lake,,NW20-8-1-W4,RNTR,Campbell Lake,2N,20.1,6400,2024-04-24
Reesor Lake,,NW20-8-1-W4,TGTR,Beitty/Bow River,3N,19.4,3500,2024-04-24
Spruce Coulee Reservoir,,SW26-8-2-W4,BKTR,Beitty Resort,3N,18.8,5000,2024-04-25
Unnamed,Acadia Valley Reservoir,SW5-25-2-W4,BKTR,Beitty Resort,3N,18.5,2000,2024-04-23
Unnamed,Acadia Valley Reservoir,SW5-25-2-W4,RNTR,Campbell Lake,2N,20.2,2000,2024-04-23
Unnamed,Bashaw Pond,SE4-42-21-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.9,500,2024-04-18
Unnamed,Bashaw Pond,SE4-42-21-W4,BKTR,Beitty Resort,3N,19.1,200,2024-04-18
Unnamed,Black Nugget Mine Pit,NW11-49-18-W4,RNTR,Campbell Lake,2N,20.1,5000,2024-04-18
Unnamed,Black Nugget Mine Pit,NW11-49-18-W4,TGTR,Beitty/Bow River,3N,20.1,4000,2024-04-18
Unnamed,Black Nugget Mine Pit,NW11-49-18-W4,RNTR,Riverence,AF2N,7.7,10000,2024-04-18
Unnamed,Bow City East Ponds,NE15-17-17-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,2000,2024-04-18
Unnamed,Brooks Aquaduct Pond,NE15-18-14-W4,RNTR,Campbell Lake,2N,20.4,4000,2024-04-15
Unnamed,Brooks Aquaduct Pond,NE15-18-14-W4,RNTR,Riverence,AF2N,7.4,10000,2024-04-15
Unnamed,Corner Lake,NW4-6-20-W4,RNTR,Trout Lodge/Jumpers,AF3N,20,2500,2024-04-10
Unnamed,Coronation Reservoir,SW24-36-11-W4,RNTR,Campbell Lake,2N,19.9,2120,2024-04-17
Unnamed,Coronation Reservoir,SW24-36-11-W4,BNTR,Bow River,3N,20.7,1000,2024-04-17
Unnamed,Coronation Reservoir,SW24-36-11-W4,TGTR,Beitty/Bow River,3N,18.6,1000,2024-04-17
Unnamed,Daysland Pond,NE9-45-16-W4,RNTR,Trout Lodge/Jumpers,AF3N,21.3,400,2024-04-18
Unnamed,Diplomat Mine Pond,NW1-41-16-W4,RNTR,Campbell Lake,2N,20.3,2000,2024-04-18
Unnamed,Diplomat Mine Pond,NW1-41-16-W4,TGTR,Beitty/Bow River,3N,19.3,1500,2024-04-18
Unnamed,Diplomat Mine Pond,NW1-41-16-W4,RNTR,Campbell Lake,2N,43.2,30,2024-04-25
Unnamed,Enchant Pond,NW8-14-18-W4,TGTR,Beitty/Bow River,3N,20,200,2024-04-10
Unnamed,Enchant Pond,NW8-14-18-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.5,2000,2024-04-18
Unnamed,ForemostReservoir,NW17-6-11-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.5,1500,2024-04-18
