Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,Average Length (cm),Number Stocked,Stocking Date
,,SW4-36-8-W5,RNTR,Trout Lodge/Jumpers,20.2,2000,2024-05-06
,,NE16-35-6-W5,RNTR,Campbell Lake,20.0,1250,2024-05-08
,,NE11-5-3-W5,RNTR,Trout Lodge/Jumpers,20.6,11500,2024-04-26
,,SW28-26-9-W4,RNTR,Campbell Lake,20.1,10400,2024-04-22
,,SW28-26-9-W4,TGTR,Beitty/Bow River,19.4,4000,2024-04-23
,,SW28-26-9-W4,BNTR,Bow River,41.5,72,2024-04-23
,,SW28-26-9-W4,RNTR,Pit Lakes,17.6,2000,2024-04-23
,,SW28-26-9-W4,BNTR,Bow River,20.4,2500,2024-04-23
,,SW28-26-9-W4,BNTR,Bow River,55.2,109,2024-04-23
,,NW7-61-5-W4,RNTR,Trout Lodge/Jumpers,20.3,500,2024-05-03
,,NW15-4-1-W5,BKTR,Beitty Resort,18.5,2000,2024-04-23
,,NW30-38-5-W4,TGTR,Beitty/Bow River,19.1,2000,2024-04-17
,,NW30-38-5-W4,RNTR,Campbell Lake,20.0,2000,2024-04-17
,,NW7-69-23-W4,BNTR,Bow River,20.3,1000,2024-05-10
,,NW7-69-23-W4,RNTR,Campbell Lake,20.3,3200,2024-05-10
,,NE4-15-2-W5,RNTR,Campbell Lake,20.6,990,2024-04-22
,,NE4-15-2-W5,RNTR,Trout Lodge/Jumpers,20.1,6768,2024-04-26
,,NE4-15-2-W5,RNTR,Campbell Lake,21.0,4510,2024-04-26
,,NE4-15-2-W5,RNTR,Trout Lodge/Jumpers,20.7,3304,2024-04-26
,,NE4-15-2-W5,RNTR,Trout Lodge/Jumpers,20.1,4428,2024-04-26
,,NE4-61-6-W4,RNTR,Campbell Lake,19.9,4000,2024-05-02
,,NE4-61-6-W4,RNTR,Riverence,8.4,10779,2024-05-02
,,NE4-61-6-W4,RNTR,Riverence,8.0,4221,2024-05-02
,,NE36-50-7-W4,RNTR,Trout Lodge/Jumpers,20.9,1250,2024-05-08
,,NE12-38-8-W5,BNTR,Bow River,19.8,1500,2024-05-03
,,NE12-38-8-W5,RNTR,Riverence,8.0,23199,2024-05-03
,,NE12-38-8-W5,RNTR,Riverence,8.2,22088,2024-05-03
,,NE12-38-8-W5,RNTR,Riverence,8.2,4713,2024-05-03
