Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,,Average Length (cm),Number Stocked,Stocking Date
Butcher's Lake,,NW15-4-1-W5,BKTR,Beitty Resort,3N,18.5,2000,2024-04-23
Peanut Lake,,NE15-58-3-W5,BKTR,Beitty Resort,3N,19.6,2500,2024-04-30
Spruce Coulee Reservoir,,SW26-8-2-W4,BKTR,Beitty Resort,3N,18.8,5000,2024-04-25
Unnamed,"Acadia Valley
Reservoir",SW5-25-2-W4,BKTR,Beitty Resort,3N,18.5,2000,2024-04-23
Unnamed,Bashaw Pond,SE4-42-21-W4,BKTR,Beitty Resort,3N,19.1,200,2024-04-18
Unnamed,Elk Point Pond,NW36-56-7-W4,BKTR,Beitty Resort,3N,19.5,500,2024-05-03
Unnamed,Heritage Lake,NW33-55-25-W4,BKTR,Beitty Resort,3N,19.0,1600,2024-04-29
Unnamed,"Innisfree Trout
Pond",SE13-51-12-W4,BKTR,Beitty Resort,3N,19.2,600,2024-05-02
Unnamed,"Irma Fish and
Game Pond",SW34-45-9-W4,BKTR,Beitty Resort,3N,19.2,300,2024-05-02
Unnamed,"Kraft Wimborne
Pond",SE28-33-26-W4,BKTR,Beitty Resort,3N,19.8,230,2024-04-30
Unnamed,"Nicholas Sheran
Park Pond",SE26-8-22-W4,BKTR,Beitty Resort,3N,19.7,1000,2024-04-10
Unnamed,Pleasure Island Reservoir,SW20-46-19-W4,BKTR,Beitty Resort,3N,18.8,750,2024-04-25
Unnamed,Shuster Lake,NE26-43-5-W4,BKTR,Beitty Resort,3N,18.5,3500,2024-04-24
Blood Indian Creek Reservoir,,SW28-26-9-W4,TGTR,Beitty/Bow River,3N,19.4,4000,2024-04-23
Captain Eyre Lake,Capt Ayre,NW30-38-5-W4,TGTR,Beitty/Bow River,3N,19.1,2000,2024-04-17
Dillberry Lake,,NE36-41-1-W4,TGTR,Beitty/Bow River,3N,19.9,2000,2024-04-24
Dolberg Lake,,SE1-60-8-W5,TGTR,Beitty/Bow River,3N,19.6,2000,2024-04-30
Hasse Lake,,SW13-52-2-W5,TGTR,Beitty/Bow River,3N,19.6,500,2024-04-30
Ironside Pond,,SW7-38-7-W5,TGTR,Beitty/Bow River,3N,20.1,400,2024-05-03
Jack Fish Lake,,NW20-53-9-W4,TGTR,Beitty/Bow River,3N,20.1,1000,2024-05-03
Niemela Reservoir,Ray's Pond,SE1-39-3-W5,TGTR,Beitty/Bow River,3N,20.2,250,2024-04-30
Reesor Lake,,NW20-8-1-W4,TGTR,Beitty/Bow River,3N,19.4,3500,2024-04-24
Salter's Lake,,SW26-54-2-W5,TGTR,Beitty/Bow River,3N,19.5,2000,2024-05-01
Spring Lake,Cottage,SW30-52-1-W5,TGTR,Beitty/Bow River,3N,20.3,1500,2024-05-01
Star Lake,,NE19-52-2-W5,TGTR,Beitty/Bow River,3N,19.6,1000,2024-04-30
Unnamed,Beaumont Pond,NW27-50-24-W4,TGTR,Beitty/Bow River,3N,19.7,200,2024-05-03
Unnamed,"Black Nugget
Mine Pit",NW11-49-18-W4,TGTR,Beitty/Bow River,3N,20.1,4000,2024-04-18
Unnamed,Boulder Lake,NE18-39-27-W4,TGTR,Beitty/Bow River,3N,20.2,200,2024-04-30
Unnamed,"Cardiff Park
Pond",SW24-55-25-W4,TGTR,Beitty/Bow River,3N,19.6,2550,2024-04-30
Unnamed,Coronation Reservoir,SW24-36-11-W4,TGTR,Beitty/Bow River,3N,18.6,1000,2024-04-17
Unnamed,Dickson Trout Pond,NW13-35-3-W5,TGTR,Beitty/Bow River,3N,20.3,1700,2024-05-01
Unnamed,"Diplomat Mine
Pond",NW1-41-16-W4,TGTR,Beitty/Bow River,3N,19.3,1500,2024-04-18
Unnamed,Elk Point Pond,NW36-56-7-W4,TGTR,Beitty/Bow River,3N,20.1,150,2024-05-03
Unnamed,Enchant Pond,NW8-14-18-W4,TGTR,Beitty/Bow River,3N,20.0,200,2024-04-10
