Waterbody Official,Waterbody,ATS,Species,Strain* Genotype**,,Average,Number,Stocking Date
Unnamed,Nose Creek Pond,NE1-27-1-W5,RNTR,Trout/Lodge/Kamloops,AF3N,21,350,2025-05-15
Unnamed,Nose Creek Pond,NE1-27-1-W5,RNTR,Trout/Lodge/Kamloops,AF3N,30,50,2025-05-15
Unnamed,Lodgepole Pond,NE1-48-10-W5,RNTR,Riverence,AF3N,20,200,2025-05-27
Grande Cache Lake,,NE1-57-8-W6,RNTR,Riverence,AF3N,12,15000,2025-05-14
Grande Cache Lake,,NE1-57-8-W6,RNTR,Campbell Lake,3N,20.5,10037,2025-06-19
Grande Cache Lake,,NE1-57-8-W6,RNTR,Campbell Lake,3N,20.4,15000,2025-09-17
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Trout/Lodge/Jumpers,AF3N,20,2487,2025-04-14
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Trout/Lodge/Jumpers,AF3N,20,10913,2025-04-15
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Riverence,AF3N,11.2,63037,2025-04-15
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Trout/Lodge/Kamloops,AF3N,15.9,32000,2025-04-22
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Trout/Lodge/Kamloops,AF3N,15.7,25033,2025-05-09
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Campbell Lake,3N,20,24718,2025-09-16
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Campbell Lake,3N,19.5,7732,2025-09-22
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Campbell Lake,3N,19.7,7419,2025-09-22
Payne Lake Mami Lake,,NE10-2-28-W4,RNTR,Campbell Lake,3N,19.7,9288,2025-09-22
Payne Lake Mami Lake,,NE10-2-28-W4,RNTR,Campbell Lake,3N,19.8,7371,2025-09-22
Payne Lake Mami Lake,,NE10-2-28-W4,RNTR,Campbell Lake,3N,16.5,10190,2025-09-22
Payne Lake Mami Lake,,NE10-2-28-W4,RNTR,Riverence,AF3N,7.9,8362,2025-09-22
Payne Lake Mami Lake,,NE10-2-28-W4,RNTR,Campbell Lake,3N,20.1,12465,2025-10-06
Payne Lake Mami Lake,,NE10-2-28-W4,RNTR,Campbell Lake,3N,16.9,20137,2025-10-06
Payne Lake Mami Lake,,NE10-2-28-W4,RNTR,Campbell Lake,3N,20.1,2207,2025-10-06
Payne Lake Mami Lake,,NE10-2-28-W4,RNTR,Campbell Lake,3N,17,20047,2025-10-07
Lake Of Falls,,NE10-36-19-W5,CTTR,Allison Creek,2N,4.7,2627,2025-09-25
Unnamed,Gibbons Pond,NE10-56-23-W4,RNTR,Trout/Lodge/Kamloops,AF3N,20.6,300,2025-05-29
Unnamed,Gibbons Pond,NE10-56-23-W4,RNTR,Trout/Lodge/Kamloops,AF3N,32,25,2025-05-29
Unnamed,Tamarack Lake,NE10-66-12-W5,RNTR,Trout/Lodge/Jumpers,AF3N,5.9,8000,2025-09-18
Beaver Mines Lake,,NE11-5-3-W5,CTTR,Allison Creek,2N,12.3,16000,2025-04-25
Beaver Mines Lake,,NE11-5-3-W5,CTTR,Allison Creek,2N,37.8,200,2025-06-26
Unnamed,Fiesta Lake,NE12-35-6-W5,RNTR,Riverence,AF3N,20,550,2025-05-14
Cow Lake,,NE12-38-8-W5,BNTR,Bow River,3N,18.7,5000,2025-05-02
Cow Lake,,NE12-38-8-W5,RNTR,Riverence,AF3N,20.1,4032,2025-05-01
