StationNameDescription,Latitude,Longitude
ADAMSON LAKE ,53.61544,-112.92044
AGNES LAKE ,54.91167,-114.975
ALIX LAKE ,52.39048,-113.19853
AMISK LAKE ,54.58342,-112.63879
ANDREW LAKE ,59.92806,-110.09889
ANGLING LAKE ,54.20139,-110.32639
ANTLER LAKE ,53.49583,-112.97917
ARCH LAKE ,59.86833,-110.61806
ARCHER LAKE (L66) ,58.11306,-110.33583
ARM LAKE ,52.74783,-110.58845
ASTOTIN LAKE ,53.67747,-112.84167
AUDET LAKE (L37) ,57.6475,-110.91167
AUGER LAKE ,54.72083,-112.49722
BADGER RESERVOIR ,50.38333,-112.46667
BANANA LAKE ,54.725,-113.83333
BAPTISTE LAKE ,54.75,-113.55
BARE CREEK RESERVOIR ,49.43333,-110.4
BARRIER LAKE ,51.01667,-115.06667
BARROW LAKE ,59.26167,-111.20111
BASE LAKE ,55.64972,-111.845
BASSANO RESERVOIR ,50.75,-112.6
BATTLE LAKE ,52.96667,-114.18333
BATTLE RIVER RESERVOIR (FORESTBURG) ,52.46583,-112.10972
BAYARD LAKE (L46): RAMP BM8 ,57.7725,-112.39639
BEAR LAKE ,55.24694,-118.96056
BEARTRAP LAKE ,54.205,-110.53806
BEAUVAIS LAKE ,49.41389,-114.10833
BEAVER LAKE ,54.725,-111.83333
BEAVER MINES LAKE ,49.37225,-114.29611
BEAVERDAM LAKE ,49.08333,-113.6
BENNETT LAKE ,53.5375,-112.99167
BIG ISLAND LAKE ,53.49444,-113.20278
BIG LAKE ,53.6,-113.70556
BIG LAKE (NEAR ST ALBERT) ,53.59778,-113.74167
BIGELOW RESERVOIR ,51.96667,-113.58333
BIRCH LAKE ,56.38444,-110.42139
BIRCH LAKE (NEAR BURNSTICK LAKE) ,52.00139,-114.82333
BIRCH LAKE (NEAR GLENEVIS) ,53.75533,-114.53152
BISON LAKE (L87) ,57.19833,-116.1675
BITTERN LAKE ,53.0375,-113.05547
BLACKFALDS LAKE ,52.38833,-113.72139
BLACKMUD LAKE ,53.55861,-116.81056
BLOOD INDIAN RESERVOIR ,51.21667,-111.21667
BOAG LAKE ,53.525,-113.23056
BOCQUENE LAKE ,59.48417,-111.11806
BONNIE LAKE ,54.15,-111.875
BOONE LAKE ,55.57444,-119.42222
BORDEN LAKE ,53.86083,-110.56972
BOUNDARY LAKE ,56.33639,-119.99083
BOURQUE LAKE ,54.67083,-110.54722
BUCK LAKE ,52.98333,-114.76667
BUFFALO LAKE (NEAR BASHAW) ,52.45,-112.95
BUFFALO LAKE (NEAR BOYLE) ,54.52333,-112.47583
BULLSHEAD CREEK RESERVOIR ,49.67711,-110.50893
BUOY LAKE (L62) ,57.55639,-112.3625
BURNSTICK LAKE ,51.98917,-114.88417
BUSHY HEAD LAKE ,52.85,-110.9
CACHE LAKE ,54.08611,-111.78778
CADOTTE LAKE ,56.44278,-116.38944
CALLING LAKE ,55.25,-113.33333
CANOE LAKE ,54.62916,-113.13333
CANOPENER LAKE (L63) ,57.55417,-112.32917
CAPT EYRE LAKE ,52.3,-110.71417
CARDINAL LAKE ,56.23639,-117.7375
CARIBOU LAKE ,59.05278,-116.07861
CAROLSIDE RESERVOIR ,51.28333,-111.6
CARROT LAKE ,56.97611,-113.3975
CAVAN LAKE RESERVOIR ,49.93333,-110.4
CHAIN LAKES RESERVOIR ,50.21194,-114.20139
CHESTERMERE LAKE ,51.03333,-113.81667
CHICKAKOO LAKE (NW STONY PLAIN) ,53.6175,-114.07194
CHICKENHILL LAKE ,54.1,-111.1
CHIN RESERVOIR SOUTH OF DAM AT RR182 ,49.6733,-112.3275
CHIN(STAFFORD) RESERVOIR NORTH OF DAM AT RR182 ,49.69886,-112.4012
CHINOOK LAKE ,49.67236,-114.60342
CHIP LAKE ,53.65167,-115.385
CHIPEWYAN LAKE ,56.953,-113.46
CHISHOLM LAKE ,54.91444,-114.28
CHRISTINA LAKE ,55.62667,-110.82222
CLADONIA LAKE ,59.33111,-115.03778
CLAIRMONT LAKE ,55.26194,-118.76278
CLAYTON LAKE (L29): RAMP BM7 ,58.0572,-112.2761
CLEAR LAKE ,57.73194,-112.12083
CLEAR LAKE (BARNS LAKE) ,52.76667,-110.60667
COAL LAKE ,53.05556,-113.25278
COCHRANE LAKE RESERVOIR ,49.33333,-113.61667
COLD LAKE ,54.53222,-110.12361
COLIN LAKE ,59.5975,-110.12194
COOKING LAKE ,53.41944,-113.05833
CORN LAKE ,56.64194,-113.97361
COW LAKE ,52.25833,-115.01111
COWOKI RESERVOIR ,50.58333,-111.7
CRANBERRY LAKE ,56.23639,-115.06361
CRAWLING VALLEY RESERVOIR ,50.93333,-112.35833
CRESSDAY RESERVOIR ,49.24722,-110.25278
CRIMSON LAKE ,52.46111,-115.04444
CROW INDIAN LAKE ,49.36667,-111.8
CROWSNEST LAKE ,49.62886,-114.64958
CUTBANK LAKE ,55.26361,-119.12444
DEADWOOD LAKE ,56.71472,-117.59111
DECHAINE LAKE ,53.84389,-114.10306
DESJARLAIS LAKE ,53.90092,-118.58562
DILLBERRY LAKE ,52.575,-110.00417
DOLLY LAKE ,54.58083,-110.23056
DONALDSON LAKE (L85) ,57.68472,-116.2325
DRIEDMEAT LAKE ,52.89167,-112.7875
DUCK LAKE ,54.65,-113.93333
DUGGAN'S LAKE ,54.21666,-113.45
EAGLE LAKE ,51,-113.31667
EAGLENEST LAKE (L24) ,57.78333,-112.13333
EAST MEANOOK POND ,54.61666,-113.35
EAST OSLAND  L99 ,57.26583,-119.46917
EDEN LAKE ,53.57778,-114.15833
ELBOW LAKE ,50.63611,-115.01667
ELINOR LAKE ,54.67917,-111.65833
ELKWATER LAKE ,49.66797,-110.28949
EMERSON LAKE ,53.72361,-117.12278
ETHEL LAKE (NEAR COLD LAKE) ,54.52972,-110.35444
ETHEL LAKE (SWAN HILLS) ,54.78,-115.05417
FAIRFAX LAKE ,52.97028,-116.575
FAWCETT LAKE ,55.30861,-114.02389
FICKLE LAKE ,53.45056,-116.77889
FIELD LAKE ,54.71667,-111.96667
FIGURE EIGHT LAKE ,56.30083,-117.9025
FINCASTLE LAKE RESERVOIR ,49.83333,-111.98333
FISHING LAKE ,53.91806,-110.18778
FLEMING LAKE (E52): RAMP CM1 ,58.7664,-115.43333
FLETCHER LAKE (L109): RAMP S2 ,59.11806,-110.81972
FLOATING STONE LAKE ,54.23444,-111.63639
FLORENCE LAKE ,59.28778,-110.39417
FLYINGSHOT LAKE ,55.14152,-118.86244
FOLEY LAKE ,54.62639,-114.79111
FORK LAKE ,54.48917,-111.58556
FORTY MILE COULEE ,49.55,-111.2
FOX LAKE RESERVOIR ,51.64167,-111.94167
FRANCIS LAKE ,54.7,-113.78333
FRANK LAKE ,50.56889,-113.70722
FREEMAN LAKE ,54.695,-115.53056
FROG LAKE ,53.89222,-110.34167
GARDINER LAKE NORTH (L20) ,57.54,-112.49417
GARNER LAKE ,54.20278,-111.725
GARNIER LAKE (BLUET) ,53.98694,-110.56306
GARNIER LAKE (NORTH) ,54.02072,-110.58181
GEORGE LAKE ,56.22306,-118.55056
GERRY LAKE ,56.30056,-118.26972
GHOST LAKE ,54.88333,-113.6
GHOST LAKE RESERVOIR ,51.20444,-114.76306
GLENIFFER LAKE (DICKSON RESERVOIR) ,52.02944,-114.26417
GLENMORE RESERVOIR ,50.98194,-114.12361
GOD'S (ARMSTRONG) LAKE ,54.38333,-113.63333
GOD'S LAKE ,56.8175,-114.28694
GOODFISH LAKE ,54.28236,-111.81985
GOODRIDGE LAKE ,54.43139,-114.24806
GOODWIN LAKE ,55.41972,-111.65583
GOOSE LAKE ,54.3175,-115.11417
