OFFICIAL NAME,COMMON NAME,ATS,LAT,LONG,SPECIES,STRAIN,GENOTYPE,AVG. LENGTH,QUANTITY,SHIPMENT DATE
ALFORD LAKE,,SW4-36-8-W5,52.063523,-115.092202,RNTR,Campbell Lake,3N,18,3000,18-May-20
BEAR POND,,NW36-14-4-W5,50.218457,-114.430019,RNTR,Trout Lodge/Jumpers,AF3N,19.7,750,22-Jun-20
BEAUVAIS LAKE,,SW29-5-1-W5,49.411416,-114.105019,RNTR,Trout Lodge/Jumpers,AF3N,16.3,23000,11-May-20
BEAVER LAKE,,NE16-35-6-W5,52.006721,-114.788387,RNTR,Trout Lodge/Jumpers,AF3N,21.3,2500,21-May-20
BEAVER LAKE,,NE16-35-6-W5,52.006721,-114.788387,TGTR,Beitty/Bow River,3N,16.9,500,02-Sep-20
BEAVER LAKE,,NE16-35-6-W5,52.006721,-114.788387,TGTR,Beitty/Bow River,3N,20,500,02-Sep-20
BEAVER MINES LAKE,,NE11-5-3-W5,49.372895,-114.296284,RNTR,Trout Lodge/Jumpers,AF3N,15.1,23000,13-May-20
BIRCH LAKE,,SE18-35-6-W5,52.011667,-114.854167,BNTR,Bow River,3N,18,500,04-Jun-20
BIRCH LAKE,,SE18-35-6-W5,52.011667,-114.854167,BKTR,Beitty Resort,3N,17.8,4400,19-Jun-20
BIRCH LAKE,,SE18-35-6-W5,52.011667,-114.854167,RNTR,Trout Lodge/Jumpers,AF3N,20.2,3500,25-Jun-20
BLOOD INDIAN CREEK RESERVOIR,,SW28-26-9-W4,51.24853,-111.210333,RNTR,Trout Lodge/Kamloops,AF3N,11.5,4000,04-May-20
BLOOD INDIAN CREEK RESERVOIR,,SW28-26-9-W4,51.24853,-111.210333,RNTR,Trout Lodge/Jumpers,AF3N,14.7,2836,04-May-20
BLOOD INDIAN CREEK RESERVOIR,,SW28-26-9-W4,51.24853,-111.210333,BNTR,Bow River,3N,19.3,7500,04-May-20
BLOOD INDIAN CREEK RESERVOIR,,SW28-26-9-W4,51.24853,-111.210333,RNTR,Trout Lodge/Jumpers,AF3N,16.2,22164,05-May-20
BLOOD INDIAN CREEK RESERVOIR,,SW28-26-9-W4,51.24853,-111.210333,RNTR,Campbell Lake,3N,8.1,14331,04-Jun-20
BLOOD INDIAN CREEK RESERVOIR,,SW28-26-9-W4,51.24853,-111.210333,RNTR,Campbell Lake,3N,7,25669,04-Jun-20
BLOOD INDIAN CREEK RESERVOIR,,SW28-26-9-W4,51.24853,-111.210333,RNTR,Campbell Lake,3N,16.3,29194,28-Sep-20
BLOOD INDIAN CREEK RESERVOIR,,SW28-26-9-W4,51.24853,-111.210333,TGTR,Beitty/Bow River,3N,9.9,16474,28-Sep-20
BLOOD INDIAN CREEK RESERVOIR,,SW28-26-9-W4,51.24853,-111.210333,TGTR,Beitty/Bow River,3N,10.56,26436,28-Sep-20
BLOOD INDIAN CREEK RESERVOIR,,SW28-26-9-W4,51.24853,-111.210333,TGTR,Beitty/Bow River,3N,21.23,6500,28-Sep-20
BLOOD INDIAN CREEK RESERVOIR,,SW28-26-9-W4,51.24853,-111.210333,TGTR,Beitty/Bow River,3N,22.65,2000,14-Oct-20
BLOOD INDIAN CREEK RESERVOIR,,SW28-26-9-W4,51.24853,-111.210333,TGTR,Beitty/Bow River,3N,10.75,4000,14-Oct-20
BONNYVILLE TOWN POND,SLAWUTA LAKE,NW7-61-5-W4,54.265723,-110.745372,RNTR,Trout Lodge/Jumpers,AF3N,20,500,01-May-20
BUTCHER'S LAKE,,NW15-4-1-W5,49.303994,-114.061148,BKTR,Beitty Resort,3N,18.3,2300,26-May-20
CAPTAIN EYRE LAKE,CAPT AYRE,NW30-38-5-W4,52.29945,-110.714832,RNTR,Campbell Lake,2N,16.5,5000,07-May-20
CAPTAIN EYRE LAKE,CAPT AYRE,NW30-38-5-W4,52.29945,-110.714832,TGTR,Beitty/Bow River,3N,22.5,2000,25-Sep-20
CAVAN LAKE,,SW30-11-3-W4,49.935915,-110.407082,RNTR,Campbell Lake,2N,16,11000,28-Apr-20
CAVAN LAKE,,SW30-11-3-W4,49.935915,-110.407082,RNTR,Campbell Lake,2N,15.5,10978,29-Apr-20
CHAIN LAKES,LOWER CHAIN LAKE,NW7-69-23-W4,54.964036,-113.511311,RNTR,Campbell Lake,2N,17.65,4800,22-May-20
CHAIN LAKES,LOWER CHAIN LAKE,NW7-69-23-W4,54.964036,-113.511311,BNTR,Bow River,3N,21.94,1000,22-May-20
CHAIN LAKES,LOWER CHAIN LAKE,NW7-69-23-W4,54.964036,-113.511311,RNTR,Campbell Lake,2N,17.65,4800,01-Jun-20
CHAIN LAKES,LOWER CHAIN LAKE,NW7-69-23-W4,54.964036,-113.511311,BNTR,Bow River,3N,21.72,1000,01-Jun-20
CHAIN LAKES,LOWER CHAIN LAKE,NW7-69-23-W4,54.964036,-113.511311,RNTR,Trout Lodge/Kamloops,AF2N,20.63,1380,15-Sep-20
CHAIN LAKES,LOWER CHAIN LAKE,NW7-69-23-W4,54.964036,-113.511311,RNTR,Trout Lodge/Kamloops,AF2N,22.21,1620,15-Sep-20
CHAIN LAKES RESERVOIR,,NE4-15-2-W5,50.236864,-114.20802,RNTR,Trout Lodge/Jumpers,AF3N,15.3,50000,08-May-20
CHAIN LAKES RESERVOIR,,NE4-15-2-W5,50.236864,-114.20802,RNTR,Trout Lodge/Jumpers,AF3N,7,30000,03-Jun-20
CHAIN LAKES RESERVOIR,,NE4-15-2-W5,50.236864,-114.20802,RNTR,Trout Lodge/Jumpers,AF3N,15.8,10155,10-Sep-20
CHAIN LAKES RESERVOIR,,NE4-15-2-W5,50.236864,-114.20802,RNTR,Beitty Resort,3N,11.3,25217,10-Sep-20
CHAIN LAKES RESERVOIR,,NE4-15-2-W5,50.236864,-114.20802,RNTR,Campbell Lake,3N,17.5,15000,25-Sep-20
CHAMPION LAKES,LOWER CHAMPION LAKE,NW26-21-5-W5,50.813258,-114.597433,RNTR,Trout Lodge/Jumpers,AF3N,19.8,300,22-Jun-20
CHAMPION LAKES,UPPER CHAMPION LAKE,NW26-21-5-W5,50.815306,-114.599941,RNTR,Trout Lodge/Jumpers,AF3N,19.8,300,22-Jun-20
CHATWIN LAKE,,NE4-61-6-W4,54.24779,-110.841712,RNTR,Trout Lodge/Jumpers,AF2N,19.73,4000,01-Jun-20
CHATWIN LAKE,,NE4-61-6-W4,54.24779,-110.841712,RNTR,Trout Lodge/Jumpers,AF2N,19.83,4000,11-Jun-20
CHICKAKOO LAKE,CHICKAKO LAKE,SW34-53-1-W5,53.618628,-114.074339,RNTR,Trout Lodge/Jumpers,AF2N,19.9,10000,06-May-20
CHRYSTINA LAKE,,NW8-67-8-W5,54.786102,-115.194645,BKTR,Beitty Resort,3N,22.33,1800,01-Jun-20
CLAUDE N. BRENNAN MEMORIAL POND,VERMILION PARK POND,NE36-50-7-W4,53.364531,-110.884936,RNTR,Trout Lodge/Kamloops,AF3N,21.2,1250,14-May-20
COW LAKE,,NE12-38-8-W5,52.260185,-115.005926,BNTR,Bow River,3N,8.53,25800,10-Sep-20
CROWSNEST LAKE,,NE8-8-5-W5,49.634111,-114.637963,RNTR,Trout Lodge/Jumpers,AF3N,15.5,15000,06-May-20
DILLBERRY LAKE,,NE36-41-1-W4,52.576348,-110.004391,RNTR,Campbell Lake,2N,14.3,23706,21-Sep-20
DILLBERRY LAKE,,NE36-41-1-W4,52.576348,-110.004391,TGTR,Beitty/Bow River,3N,22.92,3500,21-Sep-20
DOLBERG LAKE,,SE1-60-8-W5,54.157685,-115.053191,RNTR,Campbell Lake,2N,18,4000,08-May-20
DOLBERG LAKE,,SE1-60-8-W5,54.157685,-115.053191,BNTR,Bow River,3N,20.22,2000,08-May-20
DOLBERG LAKE,,SE1-60-8-W5,54.157685,-115.053191,TGTR,Beitty/Bow River,3N,20.39,2000,17-Sep-20
DUNN LAKE,,NW7-54-25-W5,53.654925,-117.685762,BKTR,Beitty Resort,3N,20.9,2500,28-May-20
EAST DOLLAR LAKE,,NW8-73-21-W5,55.314926,-117.204628,RNTR,Trout Lodge/Jumpers,AF2N,19.7,3000,19-May-20
EAST DOLLAR LAKE,,NW8-73-21-W5,55.314926,-117.204628,BNTR,Bow River,3N,19.2,500,19-May-20
EAST DOLLAR LAKE,,NW8-73-21-W5,55.314926,-117.204628,TGTR,Beitty/Bow River,3N,22.03,300,17-Sep-20
EAST DOLLAR LAKE,,NW8-73-21-W5,55.314926,-117.204628,TGTR,Beitty/Bow River,3N,9.74,500,17-Sep-20
EAST TWIN LAKE,,SW29-97-22-W5,57.45,-117.533333,RNTR,Campbell Lake,2N,16.51,4200,25-May-20
EAST TWIN LAKE,,SW29-97-22-W5,57.45,-117.533333,TGTR,Beitty/Bow River,3N,22.81,548,15-Sep-20
EAST TWIN LAKE,,SW29-97-22-W5,57.45,-117.533333,TGTR,Beitty/Bow River,3N,20.39,452,15-Sep-20
EDITH LAKE,,NE13-67-10-W5,54.801854,-115.382263,BKTR,Beitty Resort,3N,22.24,1800,01-Jun-20
EMERALD LAKE,,SW5-62-11-W5,54.333426,-115.61828,BKTR,Beitty Resort,3N,20.45,2300,03-Jun-20
EMERSON LAKE,,SW5-19-28-W4,50.576929,-113.85125,RNTR,Trout Lodge/Jumpers,AF3N,20,1050,30-Apr-20
EMERSON LAKE,,SW5-19-28-W4,50.576929,-113.85125,BNTR,Bow River,3N,20,200,30-Apr-20
EMERSON LAKES,,NW6-55-21-W5,53.723859,-117.12285,RNTR,Trout Lodge/Jumpers,AF3N,19.52,2250,28-May-20
ENGSTROM LAKE,,NW17-83-6-W4,56.188889,-110.906389,RNTR,Trout Lodge/Kamloops,AF3N,14.64,25000,12-May-20
ENGSTROM LAKE,,NW17-83-6-W4,56.188889,-110.906389,RNTR,Beitty Resort,3N,13.5,15500,09-Sep-20
ENGSTROM LAKE,,NW17-83-6-W4,56.188889,-110.906389,RNTR,Beitty Resort,3N,13.14,9100,09-Sep-20
FAIRFAX LAKE,,NW17-46-18-W5,52.971131,-116.576532,RNTR,Trout Lodge/Kamloops,AF3N,15.45,10000,28-May-20
GOLDEYE LAKE,,NE14-40-16-W5,52.449584,-116.192114,RNTR,Trout Lodge/Jumpers,AF3N,20.7,10000,21-May-20
GRANDE CACHE LAKE,,NE1-57-8-W6,53.9,-119.05,RNTR,Trout Lodge/Jumpers,AF2N,18.79,8607,04-Jun-20
GRANDE CACHE LAKE,,NE1-57-8-W6,53.9,-119.05,RNTR,Trout Lodge/Jumpers,AF2N,19.88,14193,08-Jun-20
GRANDE CACHE LAKE,,NE1-57-8-W6,53.9,-119.05,RNTR,Beitty Resort,3N,12.46,20000,08-Sep-20
GROTTO MOUNTAIN POND,,NW21-24-9-W5,51.065761,-115.202402,RNTR,Trout Lodge/Jumpers,AF3N,20,1600,14-May-20
GROTTO MOUNTAIN POND,,NW21-24-9-W5,51.065761,-115.202402,RNTR,Trout Lodge/Jumpers,AF3N,20.2,800,19-Jun-20
GROTTO MOUNTAIN POND,,NW21-24-9-W5,51.065761,-115.202402,RNTR,Trout Lodge/Jumpers,AF3N,21.2,800,08-Jul-20
