name,other_name,district,lat,long,ats,waterbody_id
ACADIA VALLEY RESERVOIR,,OYEN,51.099316,-110.25524,SW5-25-2-W4,6900
ALFORD LAKE,,ROCKY MOUNTAIN HOUSE,52.063523,-115.092202,SW4-36-8-W5,3899
ALLISON LAKE,,BLAIRMORE,49.672284,-114.604063,SW27-8-5-W5,6902
ANDERSON DAM,,DRUMHELLER,51.419906,-112.838356,SW25-28-21-W4,17894
ARDMORE COMMUNITY POND,,COLD LAKE,54.339952,-110.479159,NW1-62-4-W4,21353
ASHLAND RESERVOIR,,WETASKIWIN,53.147371,-114.409999,NW17-48-3-W5,6903
ATLANTIC RICHFIELD RESERVOIR,,HIGH PRAIRIE,54.832388,-115.326749,NE29-67-9-W5,6904
BASHAW POND,,PONOKA,52.581079,-112.966507,SE4-42-21-W4,6905
BATHING LAKE,,PINCHER CREEK,49.278825,-114.024744,SE11-4-1-W5,6892
BEAR POND,,HIGH RIVER,50.218457,-114.430019,NW36-14-4-W5,4005
BEAUMONT POND,,WETASKIWIN,53.346482,-113.430512,NW27-50-24-W4,6893
BEAUVAIS LAKE,,PINCHER CREEK,49.411416,-114.105019,SW29-5-1-W5,4011
BEAVER LAKE,,SUNDRE,52.006721,-114.788387,NE16-35-6-W5,4014
BEAVER MINES LAKE,,BLAIRMORE,49.372895,-114.296284,NE11-5-3-W5,4018
BELLIS BEACH LAKE,,SMOKY LAKE,54.100613,-112.15247,SE15-59-15-W4,6894
BIG IRON LAKE,,HIGH RIVER,50.233539,-114.430313,NW1-15-4-W5,6897
BIRCH LAKE,,SUNDRE,52.011667,-114.854167,SE18-35-6-W5,4061
BLACK NUGGET MINE PIT,,VEGREVILLE,53.217685,-112.532662,NW11-49-18-W4,6923
BLOOD INDIAN CREEK RESERVOIR,,HANNA,51.24853,-111.210333,SW28-26-9-W4,3494
BONNYVILLE TOWN POND,SLAWUTA LAKE,BONNYVILLE,54.265723,-110.745372,NW7-61-5-W4,6890
BOULDER LAKE,,N/A,52.355924,-113.871506,NE18-39-27-W4,417506
BOW CITY EAST PONDS,,BROOKS,50.434749,-112.259866,NE15-17-17-W4,6882
BOYLE POND,,ATHABASCA,54.537414,-112.80524,NE16-64-19-W4,6884
BRAZEAU BORROW PIT #1,,ROCKY MOUNTAIN HOUSE,52.916194,-115.414317,SE32-45-10-W5,6921
BRAZEAU BORROW PIT #2,,ROCKY MOUNTAIN HOUSE,52.934075,-115.492258,SW2-46-11-W5,6922
Brazeau Canal,,,,,SE3-46-11-W5,
BROOKS AQUADUCT POND,,BROOKS,50.524756,-111.843722,NE15-18-14-W4,6873
BUD MILLER PARK POND,,LLOYDMINSTER,53.259224,-110.040698,NE26-49-1-W4,6876
BURMIS LAKE,,PINCHER CREEK,49.553784,-114.299609,SE14-7-3-W5,6879
BURN'S RESERVOIR,,PINCHER CREEK,49.492841,-113.93045,NE23-6-30-W4,6880
BURNSTICK LAKE,,SUNDRE,51.986695,-114.884038,SE11-35-7-W5,4161
BUTCHER'S LAKE,,PINCHER CREEK,49.303994,-114.061148,NW15-4-1-W5,4171
BY THE LAKE PARK,,WETASKIWIN,52.976846,-113.408198,SW22-46-24-W4,6614
CAMP 9 TROUT POND,,ROCKY MOUNTAIN HOUSE,52.84209,-115.125149,NE32-44-8-W5,21332
CAPTAIN EYRE LAKE,CAPT AYRE,PROVOST,52.29945,-110.714832,NW30-38-5-W4,4208
CARDIFF PARK POND,,STONY PLAIN,53.763266,-113.584073,SW24-55-25-W4,6868
CASTAWAY TROUT POND,,VEGREVILLE,53.097592,-111.79091,NE35-47-13-W4,20258
CASTOR EASTSIDE TROUT POND,,STETTLER,52.218207,-111.91105,SE34-37-14-W4,18022
CAVAN LAKE,,,49.935915,-110.407082,SW30-11-3-W4,
CECIL THOMPSON POND,,PEACE RIVER,56.209063,-117.20295,SW23-83-21-W5,6778
CHAIN LAKES RESERVOIR,,CLARESHOLM,50.236864,-114.20802,NE4-15-2-W5,3499
CHATWIN LAKE,,BONNYVILLE,54.24779,-110.841712,NE4-61-6-W4,4252
CHICKAKOO LAKE,CHICKAKO LAKE,STONY PLAIN,53.618628,-114.074339,SW34-53-1-W5,4261
CHIN LAKE,CHIN RESERVOIR,LETHBRIDGE,49.636404,-112.252288,NW9-8-17-W4,4265
CHRYSTINA LAKE,,SLAVE LAKE,54.786102,-115.194645,NW8-67-8-W5,6860
CIPPERLEY'S RESERVOIR,,OLDS,51.7253,-114.111399,SW8-32-1-W5,6861
COLEMAN FISH AND GAME POND,,BLAIRMORE,49.655563,-114.559795,SW24-8-5-W5,6858
CORNER LAKE,,LETHBRIDGE,49.446821,-112.648546,NW4-6-20-W4,6859
CORONATION RESERVOIR,,CORONATION,52.105809,-111.44958,SW24-36-11-W4,6845
COTTONWOOD LAKE,,,49.5588,-113.8722,SE16-7-29-W4,
COUNTY SPORTPLEX POND,,GRANDE PRAIRIE,55.237091,-118.812752,NW14-72-6-W6,417477
COW LAKE,,ROCKY MOUNTAIN HOUSE,52.260185,-115.005926,NE12-38-8-W5,4340
CROSSFIELD TROUT POND,,COCHRANE,51.422275,-114.049779,SE27-28-1-W5,23293
CROWSNEST LAKE,,BLAIRMORE,49.634111,-114.637963,NE8-8-5-W5,4374
Crowsnest Lake,,,,,NE 8-8-5-W5,
DANDURAND LAKE,,EDSON,53.565803,-116.736533,NE9-53-19-W5,6659
