Stocking Date,Waterbody ID,Water Type,Waterbody Official Name,Waterbody Common Name,District,Latitude,Longitude,Waterbody ATS,Species Code,Species Common Name,Number,Average Length,Average Weight,Genotype,Strain,Station
2022-04-19,,,Crowsnest Lake,,,,,NE 8-8-5-W5,RNTR,,15000,17.6,,AF3N,Trout Lodge/Jumpers,
2020-04-30,,,UNNAMED,NOSE CREEK POND,,51.280125,-114.010762,NE1-27-1-W5,RNTR,,315,21.85,,AF3N,Trout Lodge/Kamloops,
2021-04-27,6671,Lentic,UNNAMED,NOSE CREEK POND,COCHRANE,51.280125,-114.010762,NE1-27-1-W5,RNTR,RAINBOW TROUT,350,20.7,93.6,AF3N,Trout Lodge/Kamloops,Smoky Trout Farm
2020-05-22,,,UNNAMED,LODGEPOLE POND,,53.119469,-115.320171,NE1-48-10-W5,RNTR,,200,20,,AF3N,Trout Lodge/Jumpers,
2021-05-12,395186,Lentic,UNNAMED,LODGEPOLE POND,DRAYTON VALLEY,53.119469,-115.320171,NE1-48-10-W5,RNTR,RAINBOW TROUT,200,22.9,133.3,AF3N,Trout Lodge/Jumpers,Sam Livingston
2022-05-19,,,Lodgepole Pond,,,,,NE1-48-10-W5,RNTR,,200,23,,3N,Campbell Lake,
2020-06-04,,,GRANDE CACHE LAKE,,,53.9,-119.05,NE1-57-8-W6,RNTR,,8607,18.79,,AF2N,Trout Lodge/Jumpers,
2020-06-08,,,GRANDE CACHE LAKE,,,53.9,-119.05,NE1-57-8-W6,RNTR,,14193,19.88,,AF2N,Trout Lodge/Jumpers,
2020-09-08,,,GRANDE CACHE LAKE,,,53.9,-119.05,NE1-57-8-W6,RNTR,,20000,12.46,,3N,Beitty Resort,
2021-06-02,4725,Lentic,GRANDE CACHE LAKE,,GRANDE CACHE,53.9,-119.05,NE1-57-8-W6,RNTR,RAINBOW TROUT,7500,20.3,92.9,AF2N,Trout Lodge/Jumpers,Cold Lake
2021-06-02,4725,Lentic,GRANDE CACHE LAKE,,GRANDE CACHE,53.9,-119.05,NE1-57-8-W6,RNTR,RAINBOW TROUT,17500,14.6,34.6,AF3N,Trout Lodge/Kamloops,Cold Lake
2022-05-20,,,Grande Cache Lake,,,,,NE1-57-8-W6,RNTR,,16000,18.9,,AF2N,Trout Lodge/Jumpers,
2022-05-20,,,Grande Cache Lake,,,,,NE1-57-8-W6,RNTR,,2790,21.4,,AF2N,Trout Lodge/Jumpers,
2022-05-24,,,Grande Cache Lake,,,,,NE1-57-8-W6,RNTR,,6210,20.7,,AF2N,Trout Lodge/Jumpers,
2022-09-26,,,Grande Cache Lake,,,,,NE1-57-8-W6,RNTR,,15000,17.9,,3N,Campbell Lake,
2020-04-30,,,PAYNE LAKE,MAMI LAKE,,49.1117,-113.655837,NE10-2-28-W4,RNTR,,14500,17.8,,AF3N,Trout Lodge/Jumpers,
2020-04-30,,,PAYNE LAKE,MAMI LAKE,,49.1117,-113.655837,NE10-2-28-W4,RNTR,,29511,15,,AF3N,Trout Lodge/Jumpers,
2020-05-01,,,PAYNE LAKE,MAMI LAKE,,49.1117,-113.655837,NE10-2-28-W4,RNTR,,53871,15,,AF3N,Trout Lodge/Jumpers,
2020-05-04,,,PAYNE LAKE,MAMI LAKE,,49.1117,-113.655837,NE10-2-28-W4,RNTR,,27618,15,,AF3N,Trout Lodge/Jumpers,
2020-06-03,,,PAYNE LAKE,MAMI LAKE,,49.1117,-113.655837,NE10-2-28-W4,RNTR,,11915,7.2,,3N,Campbell Lake,
2020-06-03,,,PAYNE LAKE,MAMI LAKE,,49.1117,-113.655837,NE10-2-28-W4,RNTR,,27000,7.4,,3N,Beitty Resort,
2020-06-03,,,PAYNE LAKE,MAMI LAKE,,49.1117,-113.655837,NE10-2-28-W4,RNTR,,11085,11.5,,AF3N,Trout Lodge/Kamloops,
2020-09-09,,,PAYNE LAKE,MAMI LAKE,,49.1117,-113.655837,NE10-2-28-W4,RNTR,,24652,15.6,,AF3N,Trout Lodge/Jumpers,
2020-09-09,,,PAYNE LAKE,MAMI LAKE,,49.1117,-113.655837,NE10-2-28-W4,RNTR,,10006,16.3,,AF3N,Trout Lodge/Jumpers,
2020-09-09,,,PAYNE LAKE,MAMI LAKE,,49.1117,-113.655837,NE10-2-28-W4,RNTR,,9592,8.4,,3N,Campbell Lake,
2020-09-23,,,PAYNE LAKE,MAMI LAKE,,49.1117,-113.655837,NE10-2-28-W4,RNTR,,22093,11.5,,3N,Campbell Lake,
2020-09-23,,,PAYNE LAKE,MAMI LAKE,,49.1117,-113.655837,NE10-2-28-W4,RNTR,,14315,15.4,,3N,Beitty Resort,
2021-04-12,5513,Lentic,PAYNE LAKE,MAMI LAKE,CARDSTON,49.1117,-113.655837,NE10-2-28-W4,RNTR,RAINBOW TROUT,33010,17.5,59.1,AF3N,Trout Lodge/Jumpers,Sam Livingston
2021-04-13,5513,Lentic,PAYNE LAKE,MAMI LAKE,CARDSTON,49.1117,-113.655837,NE10-2-28-W4,RNTR,RAINBOW TROUT,16990,17.5,59.1,AF3N,Trout Lodge/Jumpers,Sam Livingston
2021-05-08,5513,Lentic,PAYNE LAKE,MAMI LAKE,CARDSTON,49.1117,-113.655837,NE10-2-28-W4,RNTR,RAINBOW TROUT,42175,10.6,13.3,3N,Beitty Resort,Sam Livingston
2022-04-25,,,Payne Lake,Mami Lake,,,,NE10-2-28-W4,RNTR,,15000,12.7,,AF3N,Trout Lodge/Kamloops,
2022-04-25,,,Payne Lake,Mami Lake,,,,NE10-2-28-W4,RNTR,,50000,6,,3N,Beitty Resort,
2022-04-26,,,Payne Lake,Mami Lake,,,,NE10-2-28-W4,RNTR,,5000,17.7,,AF3N,Trout Lodge/Jumpers,
2022-05-31,,,Payne Lake,Mami Lake,,,,NE10-2-28-W4,RNTR,,747,24.7,,3N,Campbell Lake,
2022-06-03,,,Payne Lake,Mami Lake,,,,NE10-2-28-W4,RNTR,,3529,18.8,,AF3N,Trout Lodge/Jumpers,
2022-06-16,,,Payne Lake,Mami Lake,,,,NE10-2-28-W4,RNTR,,17799,14.8,,3N,Campbell Lake,
