week,log,week_id,temp_id,temp,temp_name,date,type
17,157,4,2,4,0 up to 4,2022-04-27,L
16,161,3,3,5,5 up,2022-04-20,L
16,158,3,4,6,6 up,2022-04-23,L
18,135,5,6,8,8 up,2022-05-03,L
18,136,5,6,8,8 up,2022-05-03,L
18,137,5,6,8,8 up,2022-05-03,L
17,156,4,6,8,8 up,2022-04-30,L
19,133,6,8,10,10 up,2022-05-13,L
19,134,6,8,10,10 up,2022-05-09,L
20,155,7,9,11,11 up,2022-05-20,L
17,195,4,9,11,11 up,2023-04-27,L
18,131,5,10,12,12 up,2022-05-04,L
18,132,5,10,12,12 up,2022-05-04,L
20,130,7,11,13,13 up,2022-05-15,L
20,128,7,12,14,14 up,2022-05-17,L
20,129,7,12,14,14 up,2022-05-17,L
17,196,4,12,14,14 up,2023-04-29,L
19,197,6,12,14,14 up,2023-05-10,L
19,198,6,13,15,15 up,2023-05-10,L
25,124,12,14,16,16 up,2022-06-25,L
21,125,8,14,16,16 up,2022-05-28,L
21,126,8,14,16,16 up,2022-05-28,L
21,127,8,14,16,16 up,2022-05-28,L
21,199,8,15,17,17 up,2023-05-21,L
21,200,8,15,17,17 up,2023-05-21,L
28,204,15,15,17,17 up,2023-07-09,L
28,205,15,15,17,17 up,2023-07-10,L
23,122,10,17,19,19 up,2022-06-10,L
23,123,10,17,19,19 up,2022-06-10,L
21,201,8,17,19,19 up,2023-05-25,L
23,202,10,17,19,19 up,2023-06-06,L
26,203,13,17,19,19 up,2023-06-30,L
23,120,10,18,20,20 up,2022-06-05,L
23,121,10,18,20,20 up,2022-06-05,L
29,206,16,20,22,22 up,2023-07-16,L
25,119,12,22,21,21 down,2022-06-21,L
26,118,13,26,17,17 down,2022-06-28,L
37,186,24,27,16,16 down,2021-09-14,L
38,173,25,30,13,13 down,2021-09-25,L
39,179,26,30,13,13 down,2021-09-28,L
38,181,25,30,13,13 down,2021-09-25,L
38,182,25,30,13,13 down,2021-09-22,L
40,170,27,31,12,12 down,2021-10-06,L
39,171,26,31,12,12 down,2021-09-28,L
39,172,26,31,12,12 down,2021-09-28,L
39,178,26,31,12,12 down,2021-09-29,L
39,180,26,31,12,12 down,2021-09-28,L
38,183,25,31,12,12 down,2021-09-21,L
38,184,25,31,12,12 down,2021-09-20,L
38,185,25,31,12,12 down,2021-09-19,L
41,116,28,32,11,11 down,2022-10-13,L
41,117,28,32,11,11 down,2022-10-13,L
40,169,27,32,11,11 down,2021-10-06,L
40,177,27,32,11,11 down,2021-10-06,L
42,114,29,34,9,9 down,2022-10-16,L
42,115,29,34,9,9 down,2022-10-16,L
41,176,28,35,8,8 down,2021-10-10,L
41,167,28,36,7,7 down,2021-10-12,L
41,168,28,36,7,7 down,2021-10-11,L
41,174,28,36,7,7 down,2021-10-12,L
41,175,28,36,7,7 down,2021-10-11,L
44,154,31,37,6,6 down,2022-10-30,L
43,164,30,37,6,6 down,2021-10-26,L
43,165,30,37,6,6 down,2021-10-24,L
43,166,30,37,6,6 down,2021-10-24,L
43,113,30,38,5,5 down,2022-10-29,L
44,153,31,38,5,5 down,2022-10-30,L
43,163,30,38,5,5 down,2021-10-28,L
41,191,28,39,4,4 down to 0,2019-10-17,L
41,192,28,39,4,4 down to 0,2019-10-17,L
16,7,3,3,5,5 up,2022-04-20,H
16,8,3,4,6,6 up,2022-04-23,H
21,13,8,15,17,17 up,2023-05-21,H
39,10,26,31,12,12 down,2023-03-07,H
