Lake_Name,ATS_Location,Species_Code,Strain,Genotype,Avg_Length,Quantity_Stocked,Stocking_Date
Allison Lake,SW27-8-5-W5,WSCT,Allison Creek,2N,17.5,1500,14-05-2026
Allison Lake,SW27-8-5-W5,WSCT,Allison Creek,2N,14.1,2500,14-05-2026
Bathing Lake,SE11-4-1-W5,WSCT,Allison Creek,2N,13.2,500,29-04-2026
Beauvais Lake,SW29-5-1-W5,WSCT,Allison Creek,2N,10.2,16000,21-04-2026
Beauvais Lake,SW29-5-1-W5,WSCT,Allison Creek,2N,15.5,2000,30-04-2026
Beaver Mines Lake,NE11-5-3-W5,WSCT,Allison Creek,2N,10.6,16000,21-04-2026
Beaver Mines Lake,NE11-5-3-W5,WSCT,Allison Creek,2N,15.5,2000,27-04-2026
Burmis Lake,SE14-7-3-W5,WSCT,Allison Creek,2N,13.2,1000,29-04-2026
Burn's Reservoir,NE23-6-30-W4,WSCT,Allison Creek,2N,13.2,1000,29-04-2026
Chain Lakes Reservoir,NE4-15-2-W5,WSCT,Allison Creek,2N,10.8,20000,22-04-2026
Chain Lakes Reservoir,NE4-15-2-W5,WSCT,Allison Creek,2N,16.1,3400,21-05-2026
Chain Lakes Reservoir,NE4-15-2-W5,WSCT,Allison Creek,2N,16.8,2200,11-06-2026
Champion Lakes (Lower,NW26-21-5-W5,WSCT,Allison Creek,2N,15.8,300,05-06-2026
Champion Lakes (Upper,NW26-21-5-W5,WSCT,Allison Creek,2N,15.8,300,05-06-2026
Crowsnest Lake,NE8-8-5-W5,WSCT,Allison Creek,2N,16.1,3000,20-04-2026
Crowsnest Lake,NE8-8-5-W5,WSCT,Allison Creek,2N,12.5,7000,22-04-2026
Cummings Lake,SE10-82-3-W6,WSCT,Allison Creek,2N,15.4,800,28-05-2026
Grotto Mountain Pond,NW21-24-9-W5,WSCT,Allison Creek,2N,14.2,800,14-05-2026
Island Lake,NW12-8-6-W5,WSCT,Allison Creek,2N,12.5,3500,22-04-2026
Mclean Pond,NW20-22-5-W5,WSCT,Allison Creek,2N,14.2,2300,14-05-2026
Mount Lorette Ponds,SW19-23-8-W5,WSCT,Allison Creek,2N,14.2,800,14-05-2026
Mount Lorette Ponds,SW19-23-8-W5,WSCT,Allison Creek,2N,15.8,800,05-06-2026
Muskiki Lake,NW5-45-20-W5,WSCT,Allison Creek,2N,15.4,1500,27-05-2026
Muskiki Lake,NW5-45-20-W5,WSCT,Allison Creek,2N,12.6,89,17-06-2026
Sparrow's Egg Lake,NW6-20-8-W5,WSCT,Allison Creek,2N,15.8,900,05-06-2026
Tim Horton Children's Pond,NW14-24-8-W5,WSCT,Allison Creek,2N,14.2,600,14-05-2026
Two Lakes (South Two,NE7-62-12-W6,WSCT,Allison Creek,2N,11.1,2500,16-06-2026
Upper Kananaskis Lake,NW23-19-9-W5,WSCT,Allison Creek,2N,15.8,5000,05-06-2026
Acadia Valley Reservoir,SW5-25-2-W4,BKTR,Beitty Resort,3N,18.8,2000,21-04-2026
Bashaw Pond,SE4-42-21-W4,BKTR,Beitty Resort,3N,19.5,200,07-05-2026
Birch Lake,SE18-35-6-W5,BKTR,Beitty Resort,3N,19.2,5000,21-05-2026
Butcher's Lake,NW15-4-1-W5,BKTR,Beitty Resort,3N,18.6,3000,29-04-2026
Chrystina Lake,NW8-67-8-W5,BKTR,Beitty Resort,3N,21.5,2600,15-06-2026
Dunn Lake,NW7-54-25-W5,BKTR,Beitty Resort,3N,19.6,3000,27-05-2026
Edith Lake,NE13-67-10-W5,BKTR,Beitty Resort,3N,21.8,2100,15-06-2026
Elk Point Pond,NW36-56-7-W4,BKTR,Beitty Resort,3N,20,500,12-05-2026
Emerald Lake,SW5-62-11-W5,BKTR,Beitty Resort,3N,21.4,2600,16-06-2026
Heritage Lake,NW33-55-25-W4,BKTR,Beitty Resort,3N,18.8,1600,05-05-2026
Horseshoe Lake,SW31-63-25-W4,BKTR,Beitty Resort,3N,4.9,1500,20-05-2026
Innisfree Trout Pond,SE13-51-12-W4,BKTR,Beitty Resort,3N,20.2,600,09-05-2026
