Waterbody Official,Waterbody,ATS,Species,Strain*,Genotype**,Average,Number,Stocking Date
Name,Common Name,,,,,Length,Stocked,
,,,,,,(cm),,
Beauvais Lake,,SW29-5-1-W5,WSCT,Allison Creek,2N,10.2,"16,000",21-Apr-26
,,,,,,,,
Beauvais Lake,,SW29-5-1-W5,WSCT,Allison Creek,2N,15.5,"2,000",30-Apr-26
,,,,,,,,
Beaver Mines Lake,,NE11-5-3-W5,WSCT,Allison Creek,2N,10.6,"16,000",21-Apr-26
,,,,,,,,
Beaver Mines Lake,,NE11-5-3-W5,WSCT,Allison Creek,2N,15.5,"2,000",27-Apr-26
,,,,,,,,
Blood Indian Creek,,SW28-26-9-W4,BNTR,Bow River,3N,17.6,"7,500",23-Apr-26
Reservoir,,,,,,,,
Blood Indian Creek,,SW28-26-9-W4,TGTR,Beitty/Bow River,3N,20.5,"6,000",27-Apr-26
Reservoir,,,,,,,,
Blood Indian Creek,,SW28-26-9-W4,RNTR,Riverence,AF3N,22.8,"7,000",27-Apr-26
Reservoir,,,,,,,,
Blood Indian Creek,,SW28-26-9-W4,RNTR,Campbell Lake,2N,20.1,"10,000",28-Apr-26
Reservoir,,,,,,,,
Butcher's Lake,,NW15-4-1-W5,BKTR,Beitty Resort,3N,18.6,"3,000",29-Apr-26
Captain Eyre Lake,Capt Ayre,NW30-38-5-W4,RNTR,Riverence,AF2N,20.5,"5,000",28-Apr-26
Captain Eyre Lake,Capt Ayre,NW30-38-5-W4,TGTR,Beitty/Bow River,3N,17.0,"2,000",28-Apr-26
,,,,,,,,
Chain Lakes Reservoir,,NE4-15-2-W5,WSCT,Allison Creek,2N,10.8,"20,000",22-Apr-26
,,,,,,,,
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Trout,AF3N,16.7,"10,000",27-Apr-26
,,,,Lodge/Kamloops,,,,
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Riverence,AF3N,20.6,"6,000",30-Apr-26
,,,,,,,,
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Riverence,AF3N,23.8,"2,420",30-Apr-26
,,,,,,,,
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Riverence,AF3N,20.1,"11,580",30-Apr-26
,,,,,,,,
Crowsnest Lake,,NE8-8-5-W5,WSCT,Allison Creek,2N,16.1,"3,000",20-Apr-26
,,,,,,,,
Crowsnest Lake,,NE8-8-5-W5,WSCT,Allison Creek,2N,12.5,"7,000",22-Apr-26
Emerson Lake,,SW5-19-28-W4,BNTR,Bow River,3N,17.2,200,22-Apr-26
,,,,,,,,
Emerson Lake,,SW5-19-28-W4,RNTR,Riverence,AF3N,23.7,"1,400",22-Apr-26
,,,,,,,,
Island Lake,,NW12-8-6-W5,WSCT,Allison Creek,2N,12.5,"3,500",22-Apr-26
,,,,,,,,
Lees Lake,,SW8-7-2-W5,RNTR,Trout,AF3N,19.9,"20,000",13-Apr-26
,,,,Lodge/Jumpers,,,,
Lees Lake,,SW8-7-2-W5,BNTR,Bow River,3N,16.6,"1,895",13-Apr-26
Michel Reservoir,Michel Creek,NE5-7-3-W4,RNTR,Riverence,AF2N,20.0,"7,500",22-Apr-26
,Reservoir,,,,,,,
Michel Reservoir,Michel Creek,NE5-7-3-W4,BNTR,Bow River,3N,17.2,"1,500",22-Apr-26
,R eservoir,,,,,,,
Michichi Reservoir,,SW19-30-18-W4,RNTR,Riverence,AF3N,20.0,"4,200",28-Apr-26
,,,,,,,,
Michichi Reservoir,,SW19-30-18-W4,RNTR,Riverence,AF3N,26.2,"1,400",29-Apr-26
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Riverence,AF3N,20.1,"2,500",20-Apr-26
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Riverence,AF3N,23.7,"2,500",20-Apr-26
Outpost Lake,Police Lake,NE6-1-26-W4,RNTR,Trout,AF3N,20.2,"2,500",20-Apr-26
,,,,Lodge/Jumpers,,,,
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Riverence,AF3N,12.3,"77,502",9-Apr-26
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Trout,AF3N,20.2,"13,400",14-Apr-26
,,,,Lodge/Jumpers,,,,
Payne Lake,Mami Lake,NE10-2-28-W4,RNTR,Trout,AF3N,15.8,"20,000",21-Apr-26
,,,,Lodge/Kamloops,,,,
Spruce Coulee,,SW26-8-2-W4,BKTR,Beitty Resort,3N,18.8,"7,000",1-May-26
Reservoir,,,,,,,,
Unnamed,Acadia Valley,SW5-25-2-W4,RNTR,Riverence,AF2N,20.5,"5,000",21-Apr-26
,Reservoir,,,,,,,
Unnamed,Acadia Valley,SW5-25-2-W4,BKTR,Beitty Resort,3N,18.8,"2,000",21-Apr-26
,Reservoir,,,,,,,
Unnamed,Bathing Lake,SE11-4-1-W5,WSCT,Allison Creek,2N,13.2,500,29-Apr-26
Unnamed,Bathing Lake,SE11-4-1-W5,RNTR,Riverence,AF3N,23.8,500,29-Apr-26
Unnamed,Boulder Lake,NE18-39-27-W4,RNTR,Trout,AF3N,22.3,"1,200",23-Apr-26
,,,,Lodge/Kamloops,,,,
Unnamed,Brooks Aquaduct,NE15-18-14-W4,RNTR,Riverence,AF2N,20.6,"10,000",15-Apr-26
,Pond,,,,,,,
Unnamed,Burmis Lake,SE14-7-3-W5,WSCT,Allison Creek,2N,13.2,"1,000",29-Apr-26
Unnamed,Burn's Reservoir,NE23-6-30-W4,WSCT,Allison Creek,2N,13.2,"1,000",29-Apr-26
Unnamed,Corner Lake,NW4-6-20-W4,RNTR,Trout,AF3N,20.0,"5,000",15-Apr-26
,,,,Lodge/Jumpers,,,,
Unnamed,Corner Lake,NW4-6-20-W4,BNTR,Bow River,2N,42.1,50,24-Apr-26
Unnamed,Coronation,SW24-36-11-W4,RNTR,Riverence,AF3N,20.6,"5,300",27-Apr-26
,Reservoir,,,,,,,
Unnamed,Coronation,SW24-36-11-W4,TGTR,Beitty/Bow River,3N,16.7,"1,000",27-Apr-26
,Reservoir,,,,,,,
Unnamed,Coronation,SW24-36-11-W4,BNTR,Bow River,3N,17.6,"1,000",27-Apr-26
,Reservoir,,,,,,,
Unnamed,Crossfield Trout,SE27-28-1-W5,RNTR,Riverence,AF3N,23.5,"1,400",29-Apr-26
,Pond,,,,,,,
Unnamed,Dewitt's Pond,SE31-26-1-W5,RNTR,Trout,AF3N,22.3,"1,000",23-Apr-26
,,,,Lodge/Kamloops,,,,
Unnamed,Dewitt's Pond,SE31-26-1-W5,BNTR,Bow River,3N,18.4,"1,345",30-Apr-26
Unnamed,Dewitt's Pond,SE31-26-1-W5,BNTR,Bow River,3N,18.4,"1,250",30-Apr-26
Unnamed,Diplomat Mine,NW1-41-16-W4,TGTR,Beitty/Bow River,3N,17.6,"1,500",29-Apr-26
,Pond,,,,,,,
Unnamed,Diplomat Mine,NW1-41-16-W4,RNTR,Riverence,AF2N,19.9,"5,000",29-Apr-26
,Pond,,,,,,,
Unnamed,Enchant Pond,NW8-14-18-W4,TGTR,Beitty/Bow River,3N,17.0,200,20-Apr-26
Unnamed,Foremost,NW17-6-11-W4,RNTR,Trout,AF3N,20.3,"1,500",15-Apr-26
,Reservoir,,,Lodge/Kamloops,,,,
Unnamed,Goldspring Park,NE6-2-15-W4,RNTR,Trout,AF3N,20.3,"2,363",15-Apr-26
,Pond,,,Lodge/Kamloops,,,,
Unnamed,Granum Pond,NW31-10-26-W4,RNTR,Trout,AF3N,20.3,600,15-Apr-26
,,,,Lodge/Kamloops,,,,
Unnamed,Helmer Reservoir,SW18-31-14-W4,RNTR,Riverence,AF2N,20.0,"5,000",23-Apr-26
Unnamed,Hiller's Reservoir,SE13-32-29-W4,RNTR,Riverence,AF2N,20.3,"7,500",30-Apr-26
Unnamed,Huber Reservoir,SW36-37-13-W4,RNTR,Riverence,AF3N,20.6,"6,000",27-Apr-26
Unnamed,Huber Reservoir,SW36-37-13-W4,TGTR,Beitty/Bow River,3N,16.7,"1,250",27-Apr-26
Unnamed,Irma Fish and,SW34-45-9-W4,BKTR,Beitty Resort,3N,20.6,300,1-May-26
,Game Pond,,,,,,,
Unnamed,Irma Fish and,SW34-45-9-W4,RNTR,Riverence,AF3N,24.5,200,1-May-26
,Game Pond,,,,,,,
Unnamed,Kerbe's Pond,NE19-36-20-W4,TGTR,Beitty/Bow River,3N,16.7,"1,000",27-Apr-26
Unnamed,Kerbe's Pond,NE19-36-20-W4,BNTR,Bow River,3N,17.6,250,27-Apr-26
Unnamed,Kerbe's Pond,NE19-36-20-W4,RNTR,Riverence,AF3N,23.6,"1,000",27-Apr-26
Unnamed,Kids Can Catch,SW13-24-1-W5,RNTR,Riverence,AF3N,23.7,15,1-May-26
,Pond,,,,,,,
Unnamed,Mclaren's,SW23-33-18-W4,RNTR,Riverence,AF3N,20.3,"4,200",28-Apr-26
,Reservoir,,,,,,,
Unnamed,Mclaren's,SW23-33-18-W4,RNTR,Riverence,AF3N,26.2,"1,400",29-Apr-26
,Reservoir,,,,,,,
Unnamed,McQuillan,SW13-8-19-W4,RNTR,Riverence,AF2N,24.5,"2,000",21-Apr-26
,Reservoir,,,,,,,
