Lake_Name,Common_Name,ATS_Location,Species_Code,Strain,Genotype,Avg_Length,Quantity_Stocked,Stocking_Date
Beauvais Lake,,SW29-5-1-W5,WSCT,Allison Creek,2N,10.2,16000,21-04-2026
Beauvais Lake,,SW29-5-1-W5,WSCT,Allison Creek,2N,15.5,2000,30-04-2026
Beaver Mines Lake,,NE11-5-3-W5,WSCT,Allison Creek,2N,10.6,16000,21-04-2026
Beaver Mines Lake,,NE11-5-3-W5,WSCT,Allison Creek,2N,15.5,2000,27-04-2026
Blood Indian Creek,,SW28-26-9-W4,BNTR,Bow River,3N,17.6,7500,23-04-2026
Blood Indian Creek,,SW28-26-9-W4,TGTR,Beitty/Bow River,3N,20.5,6000,27-04-2026
Blood Indian Creek,,SW28-26-9-W4,RNTR,Riverence,AF3N,22.8,7000,27-04-2026
Blood Indian Creek,,SW28-26-9-W4,RNTR,Campbell Lake,2N,20.1,10000,28-04-2026
Butcher's Lake,,NW15-4-1-W5,BKTR,Beitty Resort,3N,18.6,3000,29-04-2026
Captain Eyre Lake,,NW30-38-5-W4,RNTR,Riverence,AF2N,20.5,5000,28-04-2026
Captain Eyre Lake,,NW30-38-5-W4,TGTR,Beitty/Bow River,3N,17.0,2000,28-04-2026
Chain Lakes Reservoir,,NE4-15-2-W5,WSCT,Allison Creek,2N,10.8,20000,22-04-2026
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Trout Lodge/Kamloops,AF3N,16.7,10000,27-04-2026
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Riverence,AF3N,20.6,6000,30-04-2026
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Riverence,AF3N,23.8,2420,30-04-2026
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Riverence,AF3N,20.1,11580,30-04-2026
Crowsnest Lake,,NE8-8-5-W5,WSCT,Allison Creek,2N,16.1,3000,20-04-2026
Crowsnest Lake,,NE8-8-5-W5,WSCT,Allison Creek,2N,12.5,7000,22-04-2026
Emerson Lake,,SW5-19-28-W4,BNTR,Bow River,3N,17.2,200,22-04-2026
