Waterbody Official,Waterbody,ATS,Species,Strain* Genotype**,Unnamed: 5,Average,Number,Stocking Date
Name,Common Name,,,,,Length,Stocked,
,,,,,,(cm),,
Alford Lake,,SW4-36-8-W5,RNTR,Riverence,AF3N,20,"3,000",2-May-25
,,,,,,,,
Allstones Lake,,NW30-38-17-W5,BKTR,Beitty Resort,3N,12.1,650,25-Sep-25
,,,,,,,,
Aster Lake,,SE5-19-9-W5,CTTR,Allison Creek,2N,4.2,"1,300",9-Sep-25
Cavan Lake,,SW30-11-3-W4,RNTR,Trout,AF3N,20.1,"9,817",15-May-25
,,,,Lodge/Jumpers,,,,
Chain Lakes,Lower Chain Lake,NW7-69-23-W4,RNTR,Campbell Lake,2N,20.7,"1,600",2-May-25
,,,,,,,,
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Riverence,AF3N,20.2,"15,348",23-Apr-25
,,,,,,,,
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Trout,AF3N,17.5,"2,702",30-Apr-25
,,,,Lodge/Kamloops,,,,
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Trout,AF3N,16.3,"29,304",30-Apr-25
,,,,Lodge/Kamloops,,,,
Chain Lakes Reservoir,,NE4-15-2-W5,CTTR,Allison Creek,2N,37.8,425,24-Jun-25
,,,,,,,,
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,20,"24,836",11-Sep-25
,,,,,,,,
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,20.4,"20,164",15-Sep-25
,,,,,,,,
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Trout,AF3N,6.4,"9,401",22-Sep-25
,,,,Lodge/Jumpers,,,,
Chain Lakes Reservoir,NE4-15-2-W5,RNTR,Campbell Lake,,3N,19.8,"10,611",8-Oct-25
,,,,,,,,
Chain Lakes Reservoir,NE4-15-2-W5,RNTR,Campbell Lake,,3N,19.8,"10,747",9-Oct-25
,,,,,,,,
Chain Lakes Reservoir,NE4-15-2-W5,RNTR,Trout,,AF3N,8.6,"3,957",21-Oct-25
,,,Lodge/Jumpers,,,,,
Whiteridge Recreation,Blueridge Pit,SW1-60-10-W5,RNTR,Campbell Lake,3N,20.2,"2,100",12-May-25
Area Pond,,,,,,,,
Wildhorse Lakes,Lower Wildhorse,SW31-49-26-W5,RNTR,Trout,AF3N,17.7,"7,500",26-May-25
,Lake,,,Lodge/Kamloops,,,,
Wildhorse Lakes,Lower Wildhorse,SW31-49-26-W5,RNTR,Trout,AF3N,17.7,"7,500",26-May-25
,Lake,,,Lodge/Kamloops,,,,
Wildhorse Lakes,Upper Wildhorse,SW31-49-26-W5,BKTR,Beitty Resort,3N,5.1,"2,500",20-May-25
,L ake,,,,,,,
