Waterbody Official Name,Waterbody Common Name,ATS,Species,Strain*,Genotype**,Average Length (cm),Number Stocked,Stocking Date
Alford Lake,,SW4-36-8-W5,RNTR,Riverance,AF3N,14.4,1000,2023-09-18
Alford Lake,,SW4-36-8-W5,RNTR,Trout Lodge/Jumpers,AF3N,20,2000,2023-05-11
Allstones Lake,,NW30-38-17-W5,BKTR,Beitty Resort,3N,10.7,650,2023-09-07
Bear Pond,,NW36-14-4-W5,TGTR,Beitty/Bow River,3N,20.3,750,2023-06-13
Beauvais Lake,,SW29-5-1-W5,CTTR,Job Lake,3N,13.6,17000,2023-05-05
Beauvais Lake,,SW29-5-1-W5,CTTR,Job Lake,3N,17.5,5803,2023-09-13
Beaver Lake,,NE16-35-6-W5,TGTR,Beitty/Bow River,3N,23.2,1000,2023-09-15
Beaver Lake,,NE16-35-6-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.4,1185,2023-05-12
Beaver Mines Lake,,NE11-5-3-W5,RNTR,Campbell Lake,3N,9.5,10000,2023-04-26
Beaver Mines Lake,,NE11-5-3-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.1,10902,2023-04-26
Birch Lake,,SE18-35-6-W5,BKTR,Beitty Resort,3N,21.5,3000,2023-05-04
Birch Lake,,SE18-35-6-W5,BKTR,Beitty Resort,3N,11.3,5000,2023-09-15
Birch Lake,,SE18-35-6-W5,BNTR,Bow River,3N,18.6,500,2023-05-12
Birch Lake,,SE18-35-6-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.4,1659,2023-05-12
Blood Indian Creek Reservoir,,SW28-26-9-W4,BNTR,Bow River,3N,18.7,2500,2023-05-03
Blood Indian Creek Reservoir,,SW28-26-9-W4,BNTR,Bow River,2N,33.1,310,2023-10-03
Blood Indian Creek Reservoir,,SW28-26-9-W4,RNTR,Campbell Lake,3N,20.2,30999,2023-05-02
Blood Indian Creek Reservoir,,SW28-26-9-W4,RNTR,Campbell Lake,2N,17.1,2500,2023-09-26
Blood Indian Creek Reservoir,,SW28-26-9-W4,RNTR,Pit Lake,2N,16.2,6975,2023-05-03
Blood Indian Creek Reservoir,,SW28-26-9-W4,TGTR,Beitty/Bow River,3N,19.9,4000,2023-05-03
Blood Indian Creek Reservoir,,SW28-26-9-W4,BNTR,Bow River,3N,10.5,4625,2023-10-03
Blood Indian Creek Reservoir,,SW28-26-9-W4,RNTR,Campbell Lake,2N,20.4,4389,2023-05-03
Blood Indian Creek Reservoir,,SW28-26-9-W4,RNTR,Campbell Lake,2N,17.1,2500,2023-09-27
Bonnyville Town Pond,Slawuta Lake,NW7-61-5-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.5,500,2023-05-05
Butcher's Lake,,NW15-4-1-W5,BKTR,Beitty Resort,3N,20.7,2000,2023-05-10
Captain Eyre Lake,Capt Ayre,NW30-38-5-W4,TGTR,Beitty/Bow River,3N,19.9,2000,2023-05-03
Captain Eyre Lake,Capt Ayre,NW30-38-5-W4,RNTR,Campbell Lake,2N,20.3,1995,2023-05-03
Chain Lakes,Lower Chain Lake,NW7-69-23-W4,TGTR,Beitty/Bow River,3N,19.5,2000,2023-05-16
Chain Lakes,Lower Chain Lake,NW7-69-23-W4,RNTR,Campbell Lake,2N,8.7,5000,2023-05-09
Chain Lakes,Lower Chain Lake,NW7-69-23-W4,RNTR,Campbell Lake,2N,20.2,3192,2023-05-16
Chain Lakes,Lower Chain Lake,NW7-69-23-W4,RNTR,Campbell Lake,3N,17.9,1505,2023-09-21
Chain Lakes,Lower Chain Lake,NW7-69-23-W4,BNTR,Bow River,3N,18,1000,2023-05-16
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,20.1,1705,2023-05-03
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,8.7,25000,2023-05-29
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,15.6,5000,2023-06-07
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,15.6,20000,2023-09-21
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.5,2020,2023-05-03
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,20.1,2750,2023-05-03
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Campbell Lake,3N,13.1,10000,2023-06-07
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Riverance,AF3N,13.4,10000,2023-09-11
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Riverance,AF3N,14.9,8235,2023-09-21
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.7,13746,2023-05-03
Chain Lakes Reservoir,,NE4-15-2-W5,RNTR,Trout Lodge/Kamloops,AF3N,20.1,5500,2023-09-11
Champion Lakes,Lower Champion Lake,NW26-21-5-W5,CTTR,Job Lake,3N,14.5,300,2023-06-13
Champion Lakes,Upper Champion Lake,NW26-21-5-W5,CTTR,Job Lake,3N,14.5,300,2023-06-13
Chatwin Lake,,NE4-61-6-W4,RNTR,Campbell Lake,2N,8.9,3340,2023-05-25
Chatwin Lake,,NE4-61-6-W4,RNTR,Campbell Lake,3N,8,2660,2023-05-25
Chatwin Lake,,NE4-61-6-W4,RNTR,Pit Lake,2N,16,1734,2023-05-19
Chatwin Lake,,NE4-61-6-W4,RNTR,Trout Lodge/Kamloops,AF2N,17.4,2674,2023-05-19
Chickakoo Lake,Chickako Lake,SW34-53-1-W5,RNTR,Campbell Lake,2N,19.9,3990,2023-05-10
Chrystina Lake,,NW8-67-8-W5,BKTR,Beitty Resort,3N,21.4,1523,2023-06-07
Claude N. Brennan Memorial Pond,Vermilion Park Pond,NE36-50-7-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,1250,2023-05-19
Cow Lake,,NE12-38-8-W5,BNTR,Bow River,3N,18.2,1100,2023-05-15
Cow Lake,,NE12-38-8-W5,BNTR,Bow River,3N,8.3,18000,2023-09-18
Cow Lake,,NE12-38-8-W5,RNTR,Campbell Lake,3N,9.1,60000,2023-05-11
Cow Lake,,NE12-38-8-W5,RNTR,Campbell Lake,3N,7.2,13350,2023-05-30
Cow Lake,,NE12-38-8-W5,RNTR,Campbell Lake,2N,17.1,9800,2023-09-19
Cow Lake,,NE12-38-8-W5,RNTR,Campbell Lake,3N,15.7,2500,2023-09-19
Cow Lake,,NE12-38-8-W5,RNTR,Campbell Lake,3N,15.7,2500,2023-09-20
Cow Lake,,NE12-38-8-W5,RNTR,Campbell Lake,2N,17.1,1613,2023-09-28
Cow Lake,,NE12-38-8-W5,RNTR,Riverance,AF3N,14.1,5000,2023-09-18
Cow Lake,,NE12-38-8-W5,RNTR,Trout Lodge/Kamloops,AF2N,17.5,12000,2023-05-15
Cow Lake,,NE12-38-8-W5,RNTR,Trout Lodge/Kamloops,AF2N,17.4,12662,2023-05-15
Cow Lake,,NE12-38-8-W5,RNTR,Trout Lodge/Kamloops,AF2N,17.9,5166,2023-06-05
Crowsnest Lake,,NE8-8-5-W5,CTTR,Job Lake,3N,15.5,3000,2023-05-01
Crowsnest Lake,,NE8-8-5-W5,CTTR,Job Lake,3N,13.3,5000,2023-05-05
Crowsnest Lake,,NE8-8-5-W5,CTTR,Job Lake,3N,16,3000,2023-05-25
Dillberry Lake,,NE36-41-1-W4,TGTR,Beitty/Bow River,3N,20,2000,2023-05-04
Dillberry Lake,,NE36-41-1-W4,TGTR,Beitty/Bow River,3N,9.1,4000,2023-09-19
Dillberry Lake,,NE36-41-1-W4,RNTR,Campbell Lake,2N,20.3,3990,2023-05-04
Dillberry Lake,,NE36-41-1-W4,RNTR,Pit Lake,2N,16.3,4650,2023-05-04
Dolberg Lake,,SE1-60-8-W5,RNTR,Campbell Lake,2N,20.2,3192,2023-05-05
Dolberg Lake,,SE1-60-8-W5,RNTR,Campbell Lake,2N,9.5,5000,2023-05-23
Dunn Lake,,NW7-54-25-W5,BKTR,Beitty Resort,3N,22.5,2000,2023-10-06
Eagle Lake,,SW11-32-11-W5,CTTR,Job Lake,3N,16.7,1500,2023-09-07
East Dollar Lake,,NW8-73-21-W5,TGTR,Beitty/Bow River,3N,20,300,2023-05-09
East Dollar Lake,,NW8-73-21-W5,BNTR,Bow River,3N,18.6,500,2023-05-09
East Dollar Lake,,NW8-73-21-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.5,1506,2023-05-09
Edith Lake,,NE13-67-10-W5,BKTR,Beitty Resort,3N,21.4,1550,2023-06-06
Emerald Lake,,SW5-62-11-W5,BKTR,Beitty Resort,3N,23.4,1800,2023-10-06
Emerson Lake,,SW5-19-28-W4,BNTR,Bow River,3N,18.7,200,2023-04-24
Emerson Lake,,SW5-19-28-W4,RNTR,Trout Lodge/Jumpers,AF3N,20.9,1400,2023-04-24
Emerson Lake,,SW5-19-28-W4,RNTR,Trout Lodge/Kamloops,AF3N,20.5,1500,2023-05-16
Emerson Lakes,,NW6-55-21-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.6,1067,2023-05-23
Engstrom Lake,,NW17-83-6-W4,RNTR,Campbell Lake,3N,9,20000,2023-05-17
Engstrom Lake,,NW17-83-6-W4,RNTR,Campbell Lake,3N,15.8,10002,2023-09-12
Engstrom Lake,,NW17-83-6-W4,RNTR,Trout Lodge/Kamloops,AF3N,16.9,11539,2023-05-17
Fairfax Lake,,NW17-46-18-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.6,4740,2023-05-23
Goldeye Lake,,NE14-40-16-W5,RNTR,Campbell Lake,3N,8.9,5000,2023-05-15
Goldeye Lake,,NE14-40-16-W5,RNTR,Riverance,AF3N,13.4,5000,2023-09-12
Goldeye Lake,,NE14-40-16-W5,RNTR,Trout Lodge/Kamloops,AF3N,17.8,4740,2023-05-16
Grande Cache Lake,,NE1-57-8-W6,RNTR,Campbell Lake,3N,9.6,20000,2023-05-15
Grande Cache Lake,,NE1-57-8-W6,RNTR,Campbell Lake,3N,14.8,5001,2023-09-12
Grande Cache Lake,,NE1-57-8-W6,RNTR,Trout Lodge/Kamloops,AF3N,17.6,8332,2023-05-30
"Grotto Mountain
Pond",,NW21-24-9-W5,RNTR,Trout Lodge/Jumpers,AF3N,22.3,800,2023-07-12
Grotto Mountain Pond,,NW21-24-9-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.8,803,2023-05-19
Grotto Mountain Pond,,NW21-24-9-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.3,800,2023-06-12
Hasse Lake,,SW13-52-2-W5,TGTR,Beitty/Bow River,3N,19.6,500,2023-05-09
Hasse Lake,,SW13-52-2-W5,RNTR,Campbell Lake,3N,8.9,6000,2023-05-08
Hasse Lake,,SW13-52-2-W5,RNTR,Campbell Lake,2N,19.9,1995,2023-05-09
Hasse Lake,,SW13-52-2-W5,RNTR,Trout Lodge/Kamloops,AF2N,17.4,2083,2023-05-09
Hinton F & G Pond,Hinton Borrow Pit,SW28-50-25-W5,RNTR,Trout Lodge/Jumpers,AF3N,20.7,151,2023-05-30
Ironside Pond,,SW7-38-7-W5,TGTR,Beitty/Bow River,3N,23.1,400,2023-09-18
Ironside Pond,,SW7-38-7-W5,RNTR,Trout Lodge/Jumpers,AF3N,21.5,251,2023-05-15
Island Lake,,NW12-8-6-W5,CTTR,Job Lake,3N,15.5,1900,2023-05-02
Jack Fish Lake,,NW20-53-9-W4,TGTR,Beitty/Bow River,3N,19.9,1000,2023-05-03
Jack Fish Lake,,NW20-53-9-W4,RNTR,Campbell Lake,2N,20.1,1995,2023-05-03
Jack Fish Lake,,NW20-53-9-W4,RNTR,Campbell Lake,3N,8.9,8000,2023-05-04
Kakut Lake,,SW34-76-4-W6,RNTR,Trout Lodge/Jumpers,AF3N,19.9,753,2023-05-10
