id,object_id,content_type_id,tag_id
58,1,33,5
526,1,33,149
60,2,33,5
525,2,33,149
72,4,33,4
524,4,33,149
227,5,33,19
517,5,33,149
75,6,33,10
523,6,33,149
200,7,33,6
522,7,33,149
77,8,33,29
521,8,33,149
230,9,33,20
520,9,33,149
79,10,33,9
519,10,33,149
80,11,33,32
202,11,33,83
83,12,33,34
84,13,33,35
116,14,33,45
235,14,33,110
197,15,33,93
118,16,33,46
178,17,33,88
177,19,33,87
176,23,33,82
179,25,33,89
205,26,33,98
201,27,33,95
204,28,33,97
180,29,33,90
132,30,33,37
139,31,33,60
140,32,33,61
141,33,33,61
175,34,33,82
181,35,33,91
174,36,33,86
280,38,33,93
281,38,33,110
364,39,33,124
363,39,33,128
365,40,33,61
368,41,33,5
369,41,33,134
366,41,33,136
367,41,33,137
372,42,33,124
370,42,33,128
371,42,33,138
377,44,33,10
376,44,33,128
378,45,33,10
518,45,33,149
380,46,33,10
379,46,33,128
387,47,33,124
386,47,33,128
389,48,33,61
390,48,33,142
391,48,33,143
388,48,33,144
393,49,33,10
392,49,33,128
394,50,33,128
396,50,33,130
395,50,33,145
404,51,33,128
405,51,33,134
406,52,33,34
407,53,33,83
408,54,33,35
409,55,33,146
410,56,33,147
445,57,33,89
446,58,33,151
456,59,33,94
460,60,33,10
471,61,33,149
472,62,33,34
473,63,33,157
474,64,33,83
475,65,33,86
476,66,33,16
477,67,33,84
478,68,33,35
479,69,33,147
480,70,33,59
481,71,33,158
482,72,33,146
484,73,33,128
485,74,33,4
486,74,33,149
487,75,33,149
640,75,33,160
499,76,33,10
500,76,33,135
504,77,33,149
502,77,33,161
503,77,33,162
505,78,33,161
506,78,33,163
510,79,33,15
509,79,33,164
512,80,33,10
542,81,33,89
544,82,33,84
545,83,33,59
546,84,33,83
554,85,33,15
571,86,33,147
572,87,33,16
576,87,33,59
573,87,33,84
574,87,33,86
575,87,33,94
578,87,33,157
577,87,33,158
586,90,33,173
590,91,33,91
591,92,33,174
596,93,33,34
592,93,33,175
593,94,33,176
595,95,33,34
594,95,33,81
597,96,33,16
599,96,33,34
598,96,33,177
601,97,33,127
607,97,33,179
602,98,33,149
604,99,33,127
603,99,33,179
606,100,33,127
605,100,33,179
632,101,33,161
634,102,33,19
635,102,33,149
637,104,33,61
646,105,33,128
647,105,33,186
648,105,33,187
