id,object_id,content_type_id,tag_id
62,1,32,5
64,2,32,5
186,4,32,93
193,4,32,94
184,5,32,93
192,5,32,94
89,6,32,37
199,7,32,93
198,8,32,93
195,9,32,93
194,10,32,93
95,11,32,29
214,11,32,96
222,12,32,49
221,13,32,49
189,13,32,84
220,14,32,49
188,14,32,84
219,15,32,96
218,16,32,96
217,17,32,49
588,17,32,61
589,18,32,61
191,18,32,93
115,19,32,23
187,19,32,84
138,25,32,59
216,26,32,97
236,26,32,110
150,27,32,67
237,27,32,110
196,28,32,93
238,28,32,110
166,29,32,78
239,29,32,110
215,30,32,105
240,30,32,110
182,31,32,87
241,31,32,110
212,32,32,104
242,32,32,110
156,33,32,72
243,33,32,110
213,34,32,96
244,34,32,110
210,35,32,102
245,35,32,110
232,36,32,109
246,36,32,110
209,37,32,101
247,37,32,110
208,38,32,95
248,38,32,110
231,39,32,90
249,39,32,110
206,40,32,99
250,40,32,110
190,41,32,91
234,41,32,110
170,42,32,82
233,42,32,110
169,43,32,81
251,44,32,98
252,44,32,110
253,45,32,85
254,45,32,110
255,46,32,110
256,46,32,111
259,47,32,45
258,47,32,110
261,48,32,23
260,48,32,110
262,49,32,37
263,49,32,110
265,50,32,102
264,50,32,110
266,51,32,49
267,51,32,110
268,52,32,50
269,52,32,110
271,53,32,110
270,53,32,113
273,54,32,110
272,54,32,114
275,55,32,110
274,55,32,115
277,56,32,110
276,56,32,116
279,57,32,110
278,57,32,117
290,58,32,94
291,59,32,84
293,59,32,89
489,60,32,4
490,60,32,149
492,61,32,149
491,61,32,160
494,62,32,149
493,62,32,160
543,63,32,89
555,64,32,157
556,65,32,157
558,66,32,84
557,66,32,169
560,67,32,84
559,67,32,169
561,68,32,170
562,69,32,170
563,70,32,170
564,71,32,170
565,72,32,109
566,73,32,23
569,74,32,23
567,74,32,59
570,75,32,23
666,77,32,94
