id,object_id,content_type_id,tag_id
12,1,26,2
14,1,26,4
6,2,26,5
7,2,26,6
8,2,26,7
10,2,26,9
2,3,26,2
4,3,26,4
15,4,26,10
18,5,26,11
19,5,26,12
22,7,26,15
165,7,26,29
25,8,26,5
33,8,26,15
26,9,26,9
35,9,26,15
37,11,26,6
38,11,26,15
43,13,26,4
44,13,26,15
46,14,26,4
47,14,26,15
50,15,26,15
49,15,26,19
53,16,26,15
52,16,26,20
55,17,26,7
228,18,26,19
90,20,26,9
171,21,26,83
172,21,26,84
173,21,26,85
225,22,26,99
111,23,26,5
223,24,26,106
497,25,26,10
427,25,26,15
498,25,26,135
426,25,26,149
283,26,26,4
284,27,26,5
287,30,26,6
288,31,26,119
289,32,26,120
294,33,26,5
295,34,26,5
296,35,26,5
297,36,26,5
298,37,26,10
299,38,26,10
300,39,26,20
301,40,26,122
302,41,26,10
303,42,26,10
304,43,26,123
305,43,26,124
306,44,26,124
307,44,26,125
308,44,26,126
310,45,26,124
311,45,26,127
309,45,26,128
314,46,26,7
313,46,26,127
312,46,26,128
316,47,26,124
317,47,26,127
315,47,26,128
319,48,26,4
318,48,26,89
321,49,26,9
320,49,26,128
323,50,26,124
324,50,26,127
322,50,26,128
507,51,26,61
326,51,26,124
325,51,26,128
508,51,26,142
328,52,26,124
327,52,26,128
329,52,26,129
332,53,26,124
330,53,26,128
331,53,26,129
333,54,26,128
334,54,26,129
337,55,26,124
338,55,26,127
335,55,26,128
336,55,26,130
341,56,26,127
339,56,26,128
340,56,26,131
343,57,26,124
342,57,26,128
345,58,26,124
346,58,26,127
344,58,26,128
348,59,26,124
349,59,26,127
347,59,26,128
351,60,26,10
350,60,26,128
354,61,26,20
423,61,26,128
352,61,26,132
355,61,26,133
424,61,26,135
425,61,26,149
356,62,26,128
358,63,26,124
360,63,26,127
357,63,26,128
359,63,26,134
361,64,26,128
362,64,26,135
616,65,26,128
617,65,26,182
398,67,26,128
397,67,26,130
399,67,26,145
401,68,26,118
400,68,26,122
403,69,26,5
413,69,26,127
402,69,26,128
412,70,26,10
420,70,26,15
417,72,26,10
416,72,26,128
419,72,26,142
422,73,26,5
639,73,26,128
428,74,26,20
429,75,26,128
431,76,26,10
430,76,26,128
434,77,26,118
433,77,26,122
432,77,26,129
436,78,26,10
435,78,26,128
437,79,26,10
438,79,26,150
439,80,26,128
612,80,26,181
440,81,26,10
441,81,26,15
442,81,26,127
444,82,26,10
443,82,26,128
448,83,26,10
447,83,26,128
451,84,26,7
449,84,26,128
450,84,26,152
452,85,26,128
454,85,26,147
453,85,26,153
455,86,26,94
457,87,26,154
458,88,26,155
459,89,26,10
461,90,26,127
462,91,26,10
463,92,26,128
464,93,26,154
465,94,26,6
467,94,26,142
466,94,26,156
469,95,26,15
470,95,26,127
468,95,26,128
483,96,26,15
496,97,26,127
495,97,26,141
501,98,26,10
511,99,26,15
513,100,26,127
514,101,26,15
516,102,26,7
515,102,26,15
527,103,26,127
528,104,26,127
529,105,26,50
530,106,26,114
531,107,26,128
532,108,26,32
533,108,26,128
534,109,26,127
536,110,26,10
535,110,26,128
537,111,26,10
539,112,26,15
538,112,26,142
540,113,26,16
541,113,26,32
547,114,26,128
548,115,26,165
549,115,26,166
550,116,26,165
551,116,26,167
552,117,26,128
553,117,26,168
585,118,26,83
583,118,26,128
587,119,26,161
609,120,26,127
608,120,26,179
610,120,26,180
611,120,26,181
613,121,26,128
614,122,26,128
615,122,26,182
620,123,26,127
618,123,26,128
619,123,26,182
622,124,26,127
621,124,26,128
623,124,26,183
624,125,26,127
625,126,26,10
626,126,26,15
627,127,26,10
628,127,26,150
629,128,26,128
630,129,26,10
631,129,26,15
642,130,26,7
641,130,26,128
644,131,26,10
659,131,26,15
645,131,26,140
655,133,26,7
656,133,26,15
654,133,26,188
657,134,26,7
658,134,26,15
660,135,26,128
661,136,26,149
662,136,26,189
663,137,26,10
664,137,26,149
665,138,26,128
667,139,26,61
678,140,26,9
679,141,26,128
680,142,26,128
681,143,26,128
682,143,26,193
683,143,26,194
684,144,26,128
685,144,26,195
686,145,26,128
687,145,26,195
688,146,26,128
689,146,26,129
690,146,26,184
691,147,26,128
693,148,26,86
692,148,26,196
694,149,26,128
695,149,26,197
703,150,26,10
699,150,26,118
698,150,26,150
700,150,26,199
701,150,26,200
702,150,26,201
704,150,26,202
705,151,26,61
