"id","object_id","content_type_id","tag_id"
2,3,26,2
4,3,26,4
6,2,26,5
7,2,26,6
8,2,26,7
10,2,26,9
12,1,26,2
14,1,26,4
15,4,26,10
18,5,26,11
19,5,26,12
22,7,26,15
25,8,26,5
26,9,26,9
33,8,26,15
35,9,26,15
37,11,26,6
38,11,26,15
43,13,26,4
44,13,26,15
46,14,26,4
47,14,26,15
49,15,26,19
50,15,26,15
52,16,26,20
53,16,26,15
55,17,26,7
58,1,33,5
60,2,33,5
62,1,32,5
64,2,32,5
72,4,33,4
75,6,33,10
77,8,33,29
79,10,33,9
80,11,33,32
83,12,33,34
84,13,33,35
89,6,32,37
90,20,26,9
95,11,32,29
111,23,26,5
115,19,32,23
116,14,33,45
118,16,33,46
132,30,33,37
138,25,32,59
139,31,33,60
140,32,33,61
141,33,33,61
150,27,32,67
156,33,32,72
165,7,26,29
166,29,32,78
169,43,32,81
170,42,32,82
171,21,26,83
172,21,26,84
173,21,26,85
174,36,33,86
175,34,33,82
176,23,33,82
177,19,33,87
178,17,33,88
179,25,33,89
180,29,33,90
181,35,33,91
182,31,32,87
184,5,32,93
186,4,32,93
187,19,32,84
188,14,32,84
189,13,32,84
190,41,32,91
191,18,32,93
192,5,32,94
193,4,32,94
194,10,32,93
195,9,32,93
196,28,32,93
197,15,33,93
198,8,32,93
199,7,32,93
200,7,33,6
201,27,33,95
202,11,33,83
204,28,33,97
205,26,33,98
206,40,32,99
208,38,32,95
209,37,32,101
210,35,32,102
212,32,32,104
213,34,32,96
214,11,32,96
215,30,32,105
216,26,32,97
217,17,32,49
218,16,32,96
219,15,32,96
220,14,32,49
221,13,32,49
222,12,32,49
223,24,26,106
225,22,26,99
227,5,33,19
228,18,26,19
230,9,33,20
231,39,32,90
232,36,32,109
233,42,32,110
234,41,32,110
235,14,33,110
236,26,32,110
237,27,32,110
238,28,32,110
239,29,32,110
240,30,32,110
241,31,32,110
242,32,32,110
243,33,32,110
244,34,32,110
245,35,32,110
246,36,32,110
247,37,32,110
248,38,32,110
249,39,32,110
250,40,32,110
251,44,32,98
252,44,32,110
253,45,32,85
254,45,32,110
255,46,32,110
256,46,32,111
258,47,32,110
259,47,32,45
260,48,32,110
261,48,32,23
262,49,32,37
263,49,32,110
264,50,32,110
265,50,32,102
266,51,32,49
267,51,32,110
268,52,32,50
269,52,32,110
270,53,32,113
271,53,32,110
272,54,32,114
273,54,32,110
274,55,32,115
275,55,32,110
276,56,32,116
277,56,32,110
278,57,32,117
279,57,32,110
280,38,33,93
281,38,33,110
283,26,26,4
284,27,26,5
287,30,26,6
288,31,26,119
289,32,26,120
290,58,32,94
291,59,32,84
293,59,32,89
294,33,26,5
295,34,26,5
296,35,26,5
297,36,26,5
298,37,26,10
299,38,26,10
300,39,26,20
301,40,26,122
302,41,26,10
303,42,26,10
304,43,26,123
305,43,26,124
306,44,26,124
307,44,26,125
308,44,26,126
309,45,26,128
310,45,26,124
311,45,26,127
312,46,26,128
313,46,26,127
314,46,26,7
315,47,26,128
316,47,26,124
317,47,26,127
318,48,26,89
319,48,26,4
320,49,26,128
321,49,26,9
322,50,26,128
323,50,26,124
324,50,26,127
325,51,26,128
326,51,26,124
327,52,26,128
328,52,26,124
329,52,26,129
330,53,26,128
331,53,26,129
332,53,26,124
333,54,26,128
334,54,26,129
335,55,26,128
